date,Game_PH
2020-03-15,28
2020-03-22,30
2020-03-29,30
2020-04-05,31
2020-04-12,29
2020-04-19,28
2020-04-26,45
2020-05-03,100
2020-05-10,28
2020-05-17,27
2020-05-24,27
2020-05-31,26
2020-06-07,25
2020-06-14,25
2020-06-21,25
2020-06-28,25
2020-07-05,25
2020-07-12,25
2020-07-19,25
2020-07-26,27
2020-08-02,28
2020-08-09,28
2020-08-16,33
2020-08-23,33
2020-08-30,31
2020-09-06,33
2020-09-13,33
2020-09-20,33
2020-09-27,31
2020-10-04,31
2020-10-11,27
2020-10-18,22
2020-10-25,23
2020-11-01,23
2020-11-08,22
2020-11-15,23
2020-11-22,24
2020-11-29,25
2020-12-06,25
2020-12-13,28
2020-12-20,32
2020-12-27,33
2021-01-03,28
2021-01-10,28
2021-01-17,29
2021-01-24,30
2021-01-31,31
2021-02-07,30
2021-02-14,32
2021-02-21,32
2021-02-28,30
2021-03-07,28
2021-03-14,30
2021-03-21,31
2021-03-28,31
2021-04-04,30
2021-04-11,31
2021-04-18,31
2021-04-25,31
2021-05-02,32
2021-05-09,33
2021-05-16,32
2021-05-23,40
2021-05-30,41
2021-06-06,38
2021-06-13,43
2021-06-20,41
2021-06-27,36
2021-07-04,34
2021-07-11,37
2021-07-18,35
2021-07-25,29
2021-08-01,27
2021-08-08,28
2021-08-15,25
2021-08-22,26
2021-08-29,26
