date,Learning_PH
2018-01-07,83
2018-01-14,72
2018-01-21,79
2018-01-28,83
2018-02-04,86
2018-02-11,72
2018-02-18,83
2018-02-25,92
2018-03-04,94
2018-03-11,83
2018-03-18,85
2018-03-25,65
2018-04-01,53
2018-04-08,46
2018-04-15,56
2018-04-22,54
2018-04-29,56
2018-05-06,55
2018-05-13,48
2018-05-20,55
2018-05-27,51
2018-06-03,74
2018-06-10,60
2018-06-17,80
2018-06-24,89
2018-07-01,90
2018-07-08,82
2018-07-15,78
2018-07-22,81
2018-07-29,98
2018-08-05,78
2018-08-12,83
2018-08-19,78
2018-08-26,76
2018-09-02,89
2018-09-09,72
2018-09-16,77
2018-09-23,82
2018-09-30,72
2018-10-07,78
2018-10-14,85
2018-10-21,85
2018-10-28,50
2018-11-04,73
2018-11-11,74
2018-11-18,79
2018-11-25,74
2018-12-02,72
2018-12-09,62
2018-12-16,39
2018-12-23,28
2018-12-30,36
2019-01-06,66
2019-01-13,77
2019-01-20,86
2019-01-27,81
2019-02-03,77
2019-02-10,75
2019-02-17,80
2019-02-24,79
2019-03-03,94
2019-03-10,83
2019-03-17,85
2019-03-24,73
2019-03-31,60
2019-04-07,56
2019-04-14,50
2019-04-21,52
2019-04-28,49
2019-05-05,54
2019-05-12,46
2019-05-19,46
2019-05-26,60
2019-06-02,72
2019-06-09,68
2019-06-16,75
2019-06-23,74
2019-06-30,83
2019-07-07,83
2019-07-14,78
2019-07-21,78
2019-07-28,76
2019-08-04,69
2019-08-11,88
2019-08-18,81
2019-08-25,80
2019-09-01,89
2019-09-08,90
2019-09-15,87
2019-09-22,92
2019-09-29,76
2019-10-06,90
2019-10-13,84
2019-10-20,79
2019-10-27,51
2019-11-03,75
2019-11-10,78
2019-11-17,76
2019-11-24,71
2019-12-01,71
2019-12-08,65
2019-12-15,45
2019-12-22,26
2019-12-29,32
2020-01-05,63
2020-01-12,74
2020-01-19,85
2020-01-26,87
2020-02-02,91
2020-02-09,95
2020-02-16,100
2020-02-23,96
2020-03-01,96
2020-03-08,86
