date,Arts_PL
2018-01-07,46
2018-01-14,49
2018-01-21,51
2018-01-28,49
2018-02-04,44
2018-02-11,47
2018-02-18,52
2018-02-25,53
2018-03-04,49
2018-03-11,52
2018-03-18,50
2018-03-25,38
2018-04-01,42
2018-04-08,50
2018-04-15,44
2018-04-22,51
2018-04-29,39
2018-05-06,48
2018-05-13,47
2018-05-20,46
2018-05-27,43
2018-06-03,46
2018-06-10,46
2018-06-17,37
2018-06-24,36
2018-07-01,40
2018-07-08,38
2018-07-15,34
2018-07-22,36
2018-07-29,30
2018-08-05,38
2018-08-12,33
2018-08-19,40
2018-08-26,38
2018-09-02,39
2018-09-09,45
2018-09-16,46
2018-09-23,41
2018-09-30,48
2018-10-07,39
2018-10-14,46
2018-10-21,42
2018-10-28,47
2018-11-04,46
2018-11-11,42
2018-11-18,46
2018-11-25,49
2018-12-02,50
2018-12-09,44
2018-12-16,41
2018-12-23,36
2018-12-30,38
2019-01-06,44
2019-01-13,42
2019-01-20,48
2019-01-27,88
2019-02-03,90
2019-02-10,88
2019-02-17,95
2019-02-24,100
2019-03-03,91
2019-03-10,87
2019-03-17,94
2019-03-24,92
2019-03-31,48
2019-04-07,42
2019-04-14,50
2019-04-21,40
2019-04-28,45
2019-05-05,43
2019-05-12,50
2019-05-19,41
2019-05-26,44
2019-06-02,46
2019-06-09,38
2019-06-16,40
2019-06-23,38
2019-06-30,36
2019-07-07,39
2019-07-14,32
2019-07-21,31
2019-07-28,36
2019-08-04,32
2019-08-11,34
2019-08-18,34
2019-08-25,41
2019-09-01,40
2019-09-08,50
2019-09-15,50
2019-09-22,48
2019-09-29,47
2019-10-06,52
2019-10-13,49
2019-10-20,52
2019-10-27,44
2019-11-03,46
2019-11-10,52
2019-11-17,58
2019-11-24,47
2019-12-01,48
2019-12-08,47
2019-12-15,46
2019-12-22,34
2019-12-29,38
2020-01-05,50
2020-01-12,50
2020-01-19,51
2020-01-26,53
2020-02-02,49
2020-02-09,51
2020-02-16,51
2020-02-23,51
2020-03-01,50
2020-03-08,41
