date,Cooking_PL
2020-03-15,57
2020-03-22,65
2020-03-29,73
2020-04-05,87
2020-04-12,76
2020-04-19,61
2020-04-26,67
2020-05-03,65
2020-05-10,64
2020-05-17,60
2020-05-24,46
2020-05-31,61
2020-06-07,69
2020-06-14,59
2020-06-21,52
2020-06-28,55
2020-07-05,50
2020-07-12,59
2020-07-19,56
2020-07-26,64
2020-08-02,54
2020-08-09,59
2020-08-16,55
2020-08-23,62
2020-08-30,47
2020-09-06,53
2020-09-13,61
2020-09-20,53
2020-09-27,52
2020-10-04,59
2020-10-11,56
2020-10-18,69
2020-10-25,56
2020-11-01,55
2020-11-08,45
2020-11-15,70
2020-11-22,58
2020-11-29,65
2020-12-06,57
2020-12-13,72
2020-12-20,100
2020-12-27,62
2021-01-03,49
2021-01-10,55
2021-01-17,56
2021-01-24,53
2021-01-31,70
2021-02-07,60
2021-02-14,60
2021-02-21,52
2021-02-28,66
2021-03-07,65
2021-03-14,56
2021-03-21,71
2021-03-28,66
2021-04-04,46
2021-04-11,49
2021-04-18,48
2021-04-25,62
2021-05-02,57
2021-05-09,70
2021-05-16,60
2021-05-23,60
2021-05-30,47
2021-06-06,55
2021-06-13,54
2021-06-20,46
2021-06-27,41
2021-07-04,55
2021-07-11,61
2021-07-18,51
2021-07-25,52
2021-08-01,46
2021-08-08,64
2021-08-15,51
2021-08-22,57
2021-08-29,59
