date,Music_PL
2018-01-07,86
2018-01-14,83
2018-01-21,89
2018-01-28,83
2018-02-04,89
2018-02-11,89
2018-02-18,89
2018-02-25,87
2018-03-04,87
2018-03-11,87
2018-03-18,90
2018-03-25,86
2018-04-01,88
2018-04-08,84
2018-04-15,88
2018-04-22,90
2018-04-29,91
2018-05-06,82
2018-05-13,85
2018-05-20,91
2018-05-27,94
2018-06-03,93
2018-06-10,88
2018-06-17,84
2018-06-24,85
2018-07-01,80
2018-07-08,80
2018-07-15,85
2018-07-22,86
2018-07-29,82
2018-08-05,82
2018-08-12,87
2018-08-19,84
2018-08-26,90
2018-09-02,94
2018-09-09,98
2018-09-16,83
2018-09-23,85
2018-09-30,84
2018-10-07,84
2018-10-14,90
2018-10-21,85
2018-10-28,88
2018-11-04,88
2018-11-11,89
2018-11-18,87
2018-11-25,94
2018-12-02,89
2018-12-09,89
2018-12-16,88
2018-12-23,100
2018-12-30,96
2019-01-06,82
2019-01-13,82
2019-01-20,82
2019-01-27,87
2019-02-03,87
2019-02-10,90
2019-02-17,91
2019-02-24,90
2019-03-03,88
2019-03-10,87
2019-03-17,89
2019-03-24,93
2019-03-31,80
2019-04-07,76
2019-04-14,72
2019-04-21,78
2019-04-28,81
2019-05-05,76
2019-05-12,83
2019-05-19,81
2019-05-26,81
2019-06-02,81
2019-06-09,75
2019-06-16,87
2019-06-23,76
2019-06-30,75
2019-07-07,82
2019-07-14,85
2019-07-21,79
2019-07-28,71
2019-08-04,78
2019-08-11,84
2019-08-18,75
2019-08-25,75
2019-09-01,82
2019-09-08,78
2019-09-15,82
2019-09-22,79
2019-09-29,75
2019-10-06,77
2019-10-13,72
2019-10-20,80
2019-10-27,75
2019-11-03,78
2019-11-10,83
2019-11-17,77
2019-11-24,75
2019-12-01,70
2019-12-08,73
2019-12-15,71
2019-12-22,84
2019-12-29,75
2020-01-05,69
2020-01-12,74
2020-01-19,70
2020-01-26,72
2020-02-02,71
2020-02-09,80
2020-02-16,74
2020-02-23,70
2020-03-01,70
2020-03-08,61
