date,Collecting_PT
2018-01-07,31
2018-01-14,10
2018-01-21,10
2018-01-28,0
2018-02-04,53
2018-02-11,10
2018-02-18,31
2018-02-25,39
2018-03-04,10
2018-03-11,20
2018-03-18,10
2018-03-25,63
2018-04-01,50
2018-04-08,10
2018-04-15,0
2018-04-22,20
2018-04-29,41
2018-05-06,20
2018-05-13,20
2018-05-20,50
2018-05-27,31
2018-06-03,68
2018-06-10,39
2018-06-17,39
2018-06-24,30
2018-07-01,29
2018-07-08,10
2018-07-15,51
2018-07-22,41
2018-07-29,10
2018-08-05,49
2018-08-12,31
2018-08-19,21
2018-08-26,10
2018-09-02,50
2018-09-09,20
2018-09-16,30
2018-09-23,10
2018-09-30,21
2018-10-07,0
2018-10-14,20
2018-10-21,41
2018-10-28,43
2018-11-04,20
2018-11-11,53
2018-11-18,20
2018-11-25,31
2018-12-02,32
2018-12-09,44
2018-12-16,11
2018-12-23,49
2018-12-30,23
2019-01-06,54
2019-01-13,42
2019-01-20,21
2019-01-27,10
2019-02-03,10
2019-02-10,0
2019-02-17,31
2019-02-24,20
2019-03-03,42
2019-03-10,21
2019-03-17,52
2019-03-24,31
2019-03-31,20
2019-04-07,0
2019-04-14,20
2019-04-21,10
2019-04-28,10
2019-05-05,39
2019-05-12,29
2019-05-19,19
2019-05-26,10
2019-06-02,18
2019-06-09,40
2019-06-16,49
2019-06-23,19
2019-06-30,10
2019-07-07,10
2019-07-14,48
2019-07-21,48
2019-07-28,49
2019-08-04,9
2019-08-11,29
2019-08-18,58
2019-08-25,29
2019-09-01,37
2019-09-08,47
2019-09-15,36
2019-09-22,54
2019-09-29,36
2019-10-06,27
2019-10-13,35
2019-10-20,28
2019-10-27,18
2019-11-03,18
2019-11-10,45
2019-11-17,100
2019-11-24,44
2019-12-01,9
2019-12-08,37
2019-12-15,18
2019-12-22,31
2019-12-29,0
2020-01-05,18
2020-01-12,33
2020-01-19,52
2020-01-26,9
2020-02-02,60
2020-02-09,17
2020-02-16,42
2020-02-23,41
2020-03-01,55
2020-03-08,24
