date,Crafts_PT
2018-01-07,36
2018-01-14,51
2018-01-21,43
2018-01-28,29
2018-02-04,36
2018-02-11,7
2018-02-18,36
2018-02-25,61
2018-03-04,14
2018-03-11,61
2018-03-18,51
2018-03-25,29
2018-04-01,49
2018-04-08,47
2018-04-15,27
2018-04-22,64
2018-04-29,35
2018-05-06,64
2018-05-13,42
2018-05-20,21
2018-05-27,71
2018-06-03,60
2018-06-10,27
2018-06-17,13
2018-06-24,21
2018-07-01,62
2018-07-08,41
2018-07-15,43
2018-07-22,35
2018-07-29,41
2018-08-05,61
2018-08-12,58
2018-08-19,22
2018-08-26,64
2018-09-02,28
2018-09-09,56
2018-09-16,28
2018-09-23,28
2018-09-30,87
2018-10-07,28
2018-10-14,21
2018-10-21,64
2018-10-28,30
2018-11-04,49
2018-11-11,29
2018-11-18,91
2018-11-25,58
2018-12-02,37
2018-12-09,68
2018-12-16,70
2018-12-23,51
2018-12-30,65
2019-01-06,45
2019-01-13,43
2019-01-20,57
2019-01-27,78
2019-02-03,43
2019-02-10,63
2019-02-17,56
2019-02-24,99
2019-03-03,88
2019-03-10,36
2019-03-17,94
2019-03-24,100
2019-03-31,42
2019-04-07,43
2019-04-14,36
2019-04-21,43
2019-04-28,28
2019-05-05,62
2019-05-12,20
2019-05-19,41
2019-05-26,94
2019-06-02,38
2019-06-09,62
2019-06-16,68
2019-06-23,39
2019-06-30,40
2019-07-07,13
2019-07-14,53
2019-07-21,61
2019-07-28,27
2019-08-04,70
2019-08-11,47
2019-08-18,27
2019-08-25,80
2019-09-01,51
2019-09-08,26
2019-09-15,43
2019-09-22,50
2019-09-29,31
2019-10-06,44
2019-10-13,67
2019-10-20,45
2019-10-27,44
2019-11-03,68
2019-11-10,44
2019-11-17,38
2019-11-24,30
2019-12-01,32
2019-12-08,91
2019-12-15,75
2019-12-22,43
2019-12-29,27
2020-01-05,43
2020-01-12,40
2020-01-19,30
2020-01-26,35
2020-02-02,42
2020-02-09,58
2020-02-16,24
2020-02-23,23
2020-03-01,77
2020-03-08,94
