date,Music_PT
2020-03-15,87
2020-03-22,100
2020-03-29,90
2020-04-05,96
2020-04-12,91
2020-04-19,95
2020-04-26,95
2020-05-03,85
2020-05-10,82
2020-05-17,78
2020-05-24,81
2020-05-31,72
2020-06-07,77
2020-06-14,78
2020-06-21,76
2020-06-28,70
2020-07-05,68
2020-07-12,71
2020-07-19,66
2020-07-26,68
2020-08-02,72
2020-08-09,69
2020-08-16,66
2020-08-23,68
2020-08-30,67
2020-09-06,63
2020-09-13,63
2020-09-20,68
2020-09-27,70
2020-10-04,74
2020-10-11,68
2020-10-18,64
2020-10-25,64
2020-11-01,67
2020-11-08,67
2020-11-15,73
2020-11-22,74
2020-11-29,80
2020-12-06,75
2020-12-13,79
2020-12-20,92
2020-12-27,75
2021-01-03,61
2021-01-10,61
2021-01-17,65
2021-01-24,65
2021-01-31,70
2021-02-07,72
2021-02-14,72
2021-02-21,70
2021-02-28,72
2021-03-07,75
2021-03-14,70
2021-03-21,74
2021-03-28,63
2021-04-04,64
2021-04-11,64
2021-04-18,68
2021-04-25,66
2021-05-02,69
2021-05-09,66
2021-05-16,75
2021-05-23,67
2021-05-30,66
2021-06-06,66
2021-06-13,61
2021-06-20,65
2021-06-27,61
2021-07-04,60
2021-07-11,62
2021-07-18,63
2021-07-25,64
2021-08-01,60
2021-08-08,62
2021-08-15,66
2021-08-22,63
2021-08-29,62
