date,Arts_RU
2020-03-15,76
2020-03-22,70
2020-03-29,64
2020-04-05,84
2020-04-12,84
2020-04-19,86
2020-04-26,88
2020-05-03,80
2020-05-10,86
2020-05-17,87
2020-05-24,80
2020-05-31,72
2020-06-07,69
2020-06-14,73
2020-06-21,73
2020-06-28,65
2020-07-05,65
2020-07-12,71
2020-07-19,66
2020-07-26,70
2020-08-02,70
2020-08-09,74
2020-08-16,70
2020-08-23,77
2020-08-30,81
2020-09-06,83
2020-09-13,79
2020-09-20,85
2020-09-27,82
2020-10-04,76
2020-10-11,83
2020-10-18,79
2020-10-25,82
2020-11-01,78
2020-11-08,76
2020-11-15,82
2020-11-22,80
2020-11-29,76
2020-12-06,75
2020-12-13,81
2020-12-20,77
2020-12-27,68
2021-01-03,71
2021-01-10,83
2021-01-17,81
2021-01-24,79
2021-01-31,81
2021-02-07,86
2021-02-14,82
2021-02-21,80
2021-02-28,79
2021-03-07,72
2021-03-14,84
2021-03-21,78
2021-03-28,81
2021-04-04,76
2021-04-11,79
2021-04-18,78
2021-04-25,76
2021-05-02,75
2021-05-09,80
2021-05-16,81
2021-05-23,100
2021-05-30,76
2021-06-06,75
2021-06-13,77
2021-06-20,64
2021-06-27,71
2021-07-04,66
2021-07-11,69
2021-07-18,62
2021-07-25,85
2021-08-01,76
2021-08-08,73
2021-08-15,75
2021-08-22,77
2021-08-29,77
