date,Collecting_RU
2020-03-15,52
2020-03-22,49
2020-03-29,65
2020-04-05,42
2020-04-12,69
2020-04-19,45
2020-04-26,54
2020-05-03,61
2020-05-10,76
2020-05-17,39
2020-05-24,100
2020-05-31,58
2020-06-07,41
2020-06-14,35
2020-06-21,41
2020-06-28,52
2020-07-05,53
2020-07-12,61
2020-07-19,84
2020-07-26,58
2020-08-02,40
2020-08-09,63
2020-08-16,47
2020-08-23,57
2020-08-30,59
2020-09-06,34
2020-09-13,62
2020-09-20,50
2020-09-27,38
2020-10-04,73
2020-10-11,72
2020-10-18,64
2020-10-25,65
2020-11-01,69
2020-11-08,66
2020-11-15,91
2020-11-22,73
2020-11-29,47
2020-12-06,63
2020-12-13,73
2020-12-20,80
2020-12-27,37
2021-01-03,33
2021-01-10,42
2021-01-17,60
2021-01-24,61
2021-01-31,59
2021-02-07,60
2021-02-14,59
2021-02-21,65
2021-02-28,78
2021-03-07,72
2021-03-14,55
2021-03-21,63
2021-03-28,33
2021-04-04,51
2021-04-11,49
2021-04-18,54
2021-04-25,73
2021-05-02,40
2021-05-09,34
2021-05-16,53
2021-05-23,58
2021-05-30,52
2021-06-06,63
2021-06-13,40
2021-06-20,40
2021-06-27,40
2021-07-04,41
2021-07-11,52
2021-07-18,59
2021-07-25,72
2021-08-01,59
2021-08-08,45
2021-08-15,66
2021-08-22,64
2021-08-29,66
