date,Game_RU
2018-01-07,87
2018-01-14,75
2018-01-21,76
2018-01-28,80
2018-02-04,78
2018-02-11,81
2018-02-18,89
2018-02-25,79
2018-03-04,89
2018-03-11,77
2018-03-18,78
2018-03-25,84
2018-04-01,72
2018-04-08,69
2018-04-15,70
2018-04-22,68
2018-04-29,79
2018-05-06,70
2018-05-13,66
2018-05-20,72
2018-05-27,76
2018-06-03,74
2018-06-10,86
2018-06-17,88
2018-06-24,82
2018-07-01,86
2018-07-08,73
2018-07-15,71
2018-07-22,68
2018-07-29,71
2018-08-05,68
2018-08-12,69
2018-08-19,71
2018-08-26,69
2018-09-02,58
2018-09-09,61
2018-09-16,62
2018-09-23,65
2018-09-30,65
2018-10-07,64
2018-10-14,66
2018-10-21,68
2018-10-28,78
2018-11-04,71
2018-11-11,68
2018-11-18,69
2018-11-25,68
2018-12-02,75
2018-12-09,68
2018-12-16,68
2018-12-23,75
2018-12-30,100
2019-01-06,79
2019-01-13,65
2019-01-20,69
2019-01-27,71
2019-02-03,69
2019-02-10,68
2019-02-17,70
2019-02-24,68
2019-03-03,72
2019-03-10,66
2019-03-17,66
2019-03-24,73
2019-03-31,66
2019-04-07,65
2019-04-14,63
2019-04-21,66
2019-04-28,77
2019-05-05,71
2019-05-12,68
2019-05-19,71
2019-05-26,68
2019-06-02,63
2019-06-09,68
2019-06-16,66
2019-06-23,69
2019-06-30,68
2019-07-07,67
2019-07-14,68
2019-07-21,64
2019-07-28,66
2019-08-04,66
2019-08-11,68
2019-08-18,67
2019-08-25,66
2019-09-01,56
2019-09-08,56
2019-09-15,59
2019-09-22,61
2019-09-29,60
2019-10-06,61
2019-10-13,61
2019-10-20,61
2019-10-27,71
2019-11-03,68
2019-11-10,63
2019-11-17,65
2019-11-24,64
2019-12-01,68
2019-12-08,65
2019-12-15,68
2019-12-22,75
2019-12-29,95
2020-01-05,82
2020-01-12,64
2020-01-19,65
2020-01-26,69
2020-02-02,68
2020-02-09,70
2020-02-16,71
2020-02-23,71
2020-03-01,66
2020-03-08,64
