date,Music_RU
2020-03-15,89
2020-03-22,87
2020-03-29,89
2020-04-05,95
2020-04-12,95
2020-04-19,95
2020-04-26,98
2020-05-03,97
2020-05-10,88
2020-05-17,93
2020-05-24,96
2020-05-31,88
2020-06-07,94
2020-06-14,91
2020-06-21,93
2020-06-28,89
2020-07-05,94
2020-07-12,95
2020-07-19,89
2020-07-26,90
2020-08-02,89
2020-08-09,91
2020-08-16,89
2020-08-23,85
2020-08-30,87
2020-09-06,82
2020-09-13,86
2020-09-20,83
2020-09-27,85
2020-10-04,81
2020-10-11,82
2020-10-18,82
2020-10-25,84
2020-11-01,81
2020-11-08,81
2020-11-15,81
2020-11-22,81
2020-11-29,79
2020-12-06,82
2020-12-13,82
2020-12-20,86
2020-12-27,100
2021-01-03,80
2021-01-10,75
2021-01-17,76
2021-01-24,79
2021-01-31,81
2021-02-07,78
2021-02-14,77
2021-02-21,82
2021-02-28,82
2021-03-07,77
2021-03-14,78
2021-03-21,81
2021-03-28,77
2021-04-04,78
2021-04-11,77
2021-04-18,76
2021-04-25,78
2021-05-02,86
2021-05-09,76
2021-05-16,79
2021-05-23,78
2021-05-30,78
2021-06-06,78
2021-06-13,78
2021-06-20,79
2021-06-27,76
2021-07-04,78
2021-07-11,81
2021-07-18,81
2021-07-25,83
2021-08-01,79
2021-08-08,79
2021-08-15,80
2021-08-22,78
2021-08-29,81
