date,Performing_Art_RU
2018-01-07,0
2018-01-14,20
2018-01-21,20
2018-01-28,0
2018-02-04,20
2018-02-11,20
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,20
2018-03-18,0
2018-03-25,0
2018-04-01,21
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,23
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,23
2018-06-10,47
2018-06-17,23
2018-06-24,24
2018-07-01,24
2018-07-08,48
2018-07-15,0
2018-07-22,0
2018-07-29,25
2018-08-05,0
2018-08-12,25
2018-08-19,0
2018-08-26,25
2018-09-02,0
2018-09-09,22
2018-09-16,22
2018-09-23,66
2018-09-30,22
2018-10-07,88
2018-10-14,22
2018-10-21,0
2018-10-28,45
2018-11-04,44
2018-11-11,21
2018-11-18,21
2018-11-25,64
2018-12-02,84
2018-12-09,42
2018-12-16,63
2018-12-23,0
2018-12-30,26
2019-01-06,0
2019-01-13,43
2019-01-20,42
2019-01-27,0
2019-02-03,0
2019-02-10,41
2019-02-17,21
2019-02-24,41
2019-03-03,45
2019-03-10,21
2019-03-17,0
2019-03-24,22
2019-03-31,66
2019-04-07,43
2019-04-14,22
2019-04-21,23
2019-04-28,0
2019-05-05,0
2019-05-12,23
2019-05-19,0
2019-05-26,46
2019-06-02,0
2019-06-09,23
2019-06-16,47
2019-06-23,0
2019-06-30,47
2019-07-07,73
2019-07-14,24
2019-07-21,24
2019-07-28,73
2019-08-04,24
2019-08-11,24
2019-08-18,24
2019-08-25,24
2019-09-01,23
2019-09-08,0
2019-09-15,43
2019-09-22,0
2019-09-29,21
2019-10-06,0
2019-10-13,21
2019-10-20,0
2019-10-27,0
2019-11-03,43
2019-11-10,20
2019-11-17,21
2019-11-24,20
2019-12-01,0
2019-12-08,41
2019-12-15,21
2019-12-22,0
2019-12-29,0
2020-01-05,45
2020-01-12,40
2020-01-19,60
2020-01-26,20
2020-02-02,20
2020-02-09,20
2020-02-16,20
2020-02-23,20
2020-03-01,100
2020-03-08,59
