date,Sports_RU
2020-03-15,50
2020-03-22,45
2020-03-29,39
2020-04-05,49
2020-04-12,48
2020-04-19,48
2020-04-26,50
2020-05-03,47
2020-05-10,52
2020-05-17,53
2020-05-24,48
2020-05-31,51
2020-06-07,51
2020-06-14,53
2020-06-21,54
2020-06-28,57
2020-07-05,57
2020-07-12,58
2020-07-19,56
2020-07-26,51
2020-08-02,59
2020-08-09,66
2020-08-16,66
2020-08-23,63
2020-08-30,65
2020-09-06,62
2020-09-13,65
2020-09-20,68
2020-09-27,62
2020-10-04,61
2020-10-11,64
2020-10-18,66
2020-10-25,65
2020-11-01,66
2020-11-08,62
2020-11-15,64
2020-11-22,66
2020-11-29,68
2020-12-06,67
2020-12-13,64
2020-12-20,57
2020-12-27,56
2021-01-03,65
2021-01-10,57
2021-01-17,66
2021-01-24,63
2021-01-31,64
2021-02-07,69
2021-02-14,66
2021-02-21,66
2021-02-28,72
2021-03-07,71
2021-03-14,70
2021-03-21,71
2021-03-28,70
2021-04-04,75
2021-04-11,69
2021-04-18,67
2021-04-25,65
2021-05-02,73
2021-05-09,68
2021-05-16,66
2021-05-23,63
2021-05-30,62
2021-06-06,65
2021-06-13,73
2021-06-20,70
2021-06-27,68
2021-07-04,61
2021-07-11,61
2021-07-18,61
2021-07-25,100
2021-08-01,80
2021-08-08,71
2021-08-15,61
2021-08-22,69
2021-08-29,70
