date,Game_SA
2018-01-07,91
2018-01-14,96
2018-01-21,84
2018-01-28,81
2018-02-04,84
2018-02-11,83
2018-02-18,74
2018-02-25,83
2018-03-04,75
2018-03-11,79
2018-03-18,86
2018-03-25,83
2018-04-01,87
2018-04-08,83
2018-04-15,81
2018-04-22,82
2018-04-29,81
2018-05-06,87
2018-05-13,86
2018-05-20,94
2018-05-27,98
2018-06-03,96
2018-06-10,86
2018-06-17,95
2018-06-24,93
2018-07-01,100
2018-07-08,89
2018-07-15,87
2018-07-22,86
2018-07-29,87
2018-08-05,81
2018-08-12,88
2018-08-19,89
2018-08-26,84
2018-09-02,68
2018-09-09,68
2018-09-16,71
2018-09-23,72
2018-09-30,68
2018-10-07,63
2018-10-14,71
2018-10-21,65
2018-10-28,70
2018-11-04,62
2018-11-11,70
2018-11-18,69
2018-11-25,72
2018-12-02,72
2018-12-09,70
2018-12-16,75
2018-12-23,80
2018-12-30,80
2019-01-06,71
2019-01-13,67
2019-01-20,68
2019-01-27,69
2019-02-03,66
2019-02-10,67
2019-02-17,63
2019-02-24,72
2019-03-03,66
2019-03-10,74
2019-03-17,76
2019-03-24,73
2019-03-31,70
2019-04-07,67
2019-04-14,74
2019-04-21,67
2019-04-28,82
2019-05-05,73
2019-05-12,77
2019-05-19,76
2019-05-26,72
2019-06-02,91
2019-06-09,83
2019-06-16,80
2019-06-23,79
2019-06-30,79
2019-07-07,88
2019-07-14,78
2019-07-21,81
2019-07-28,71
2019-08-04,76
2019-08-11,91
2019-08-18,76
2019-08-25,67
2019-09-01,57
2019-09-08,61
2019-09-15,56
2019-09-22,59
2019-09-29,58
2019-10-06,60
2019-10-13,63
2019-10-20,55
2019-10-27,59
2019-11-03,60
2019-11-10,61
2019-11-17,60
2019-11-24,61
2019-12-01,60
2019-12-08,57
2019-12-15,65
2019-12-22,59
2019-12-29,61
2020-01-05,67
2020-01-12,72
2020-01-19,59
2020-01-26,63
2020-02-02,60
2020-02-09,62
2020-02-16,58
2020-02-23,61
2020-03-01,59
2020-03-08,64
