date,Performing_Art_SA
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,25
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,26
2020-07-19,0
2020-07-26,0
2020-08-02,29
2020-08-09,27
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,21
2020-10-11,0
2020-10-18,41
2020-10-25,60
2020-11-01,100
2020-11-08,83
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,22
2020-12-13,0
2020-12-20,23
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,23
2021-01-24,0
2021-01-31,0
2021-02-07,20
2021-02-14,0
2021-02-21,41
2021-02-28,21
2021-03-07,43
2021-03-14,20
2021-03-21,0
2021-03-28,21
2021-04-04,21
2021-04-11,22
2021-04-18,22
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
