date,Sports_SA
2018-01-07,42
2018-01-14,46
2018-01-21,49
2018-01-28,55
2018-02-04,59
2018-02-11,53
2018-02-18,59
2018-02-25,62
2018-03-04,55
2018-03-11,61
2018-03-18,54
2018-03-25,52
2018-04-01,59
2018-04-08,56
2018-04-15,54
2018-04-22,53
2018-04-29,45
2018-05-06,51
2018-05-13,41
2018-05-20,54
2018-05-27,46
2018-06-03,48
2018-06-10,100
2018-06-17,89
2018-06-24,53
2018-07-01,48
2018-07-08,50
2018-07-15,51
2018-07-22,42
2018-07-29,43
2018-08-05,50
2018-08-12,52
2018-08-19,43
2018-08-26,60
2018-09-02,43
2018-09-09,50
2018-09-16,65
2018-09-23,66
2018-09-30,52
2018-10-07,49
2018-10-14,48
2018-10-21,52
2018-10-28,51
2018-11-04,47
2018-11-11,45
2018-11-18,45
2018-11-25,45
2018-12-02,48
2018-12-09,46
2018-12-16,46
2018-12-23,45
2018-12-30,49
2019-01-06,54
2019-01-13,51
2019-01-20,57
2019-01-27,62
2019-02-03,55
2019-02-10,52
2019-02-17,50
2019-02-24,51
2019-03-03,46
2019-03-10,57
2019-03-17,46
2019-03-24,53
2019-03-31,47
2019-04-07,55
2019-04-14,45
2019-04-21,48
2019-04-28,48
2019-05-05,47
2019-05-12,41
2019-05-19,39
2019-05-26,40
2019-06-02,45
2019-06-09,51
2019-06-16,65
2019-06-23,58
2019-06-30,55
2019-07-07,47
2019-07-14,41
2019-07-21,39
2019-07-28,43
2019-08-04,45
2019-08-11,53
2019-08-18,49
2019-08-25,54
2019-09-01,43
2019-09-08,47
2019-09-15,46
2019-09-22,44
2019-09-29,56
2019-10-06,46
2019-10-13,53
2019-10-20,61
2019-10-27,61
2019-11-03,62
2019-11-10,50
2019-11-17,49
2019-11-24,66
2019-12-01,56
2019-12-08,59
2019-12-15,66
2019-12-22,49
2019-12-29,49
2020-01-05,56
2020-01-12,51
2020-01-19,57
2020-01-26,58
2020-02-02,54
2020-02-09,61
2020-02-16,60
2020-02-23,65
2020-03-01,58
2020-03-08,52
