date,Collecting_SG
2020-03-15,43
2020-03-22,52
2020-03-29,30
2020-04-05,31
2020-04-12,19
2020-04-19,19
2020-04-26,88
2020-05-03,0
2020-05-10,51
2020-05-17,31
2020-05-24,21
2020-05-31,49
2020-06-07,49
2020-06-14,50
2020-06-21,52
2020-06-28,53
2020-07-05,43
2020-07-12,33
2020-07-19,75
2020-07-26,77
2020-08-02,64
2020-08-09,75
2020-08-16,64
2020-08-23,75
2020-08-30,75
2020-09-06,64
2020-09-13,22
2020-09-20,66
2020-09-27,69
2020-10-04,23
2020-10-11,50
2020-10-18,36
2020-10-25,49
2020-11-01,56
2020-11-08,24
2020-11-15,61
2020-11-22,48
2020-11-29,61
2020-12-06,61
2020-12-13,86
2020-12-20,39
2020-12-27,25
2021-01-03,62
2021-01-10,12
2021-01-17,86
2021-01-24,37
2021-01-31,13
2021-02-07,66
2021-02-14,51
2021-02-21,25
2021-02-28,75
2021-03-07,51
2021-03-14,59
2021-03-21,25
2021-03-28,75
2021-04-04,12
2021-04-11,49
2021-04-18,60
2021-04-25,37
2021-05-02,36
2021-05-09,49
2021-05-16,35
2021-05-23,81
2021-05-30,95
2021-06-06,84
2021-06-13,59
2021-06-20,86
2021-06-27,49
2021-07-04,74
2021-07-11,50
2021-07-18,100
2021-07-25,36
2021-08-01,49
2021-08-08,76
2021-08-15,25
2021-08-22,42
2021-08-29,67
