date,Performing_Art_SG
2018-01-07,63
2018-01-14,0
2018-01-21,42
2018-01-28,42
2018-02-04,21
2018-02-11,24
2018-02-18,44
2018-02-25,83
2018-03-04,42
2018-03-11,42
2018-03-18,21
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,21
2018-04-22,0
2018-04-29,21
2018-05-06,20
2018-05-13,42
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,42
2018-06-17,0
2018-06-24,20
2018-07-01,20
2018-07-08,0
2018-07-15,21
2018-07-22,21
2018-07-29,41
2018-08-05,43
2018-08-12,0
2018-08-19,21
2018-08-26,20
2018-09-02,20
2018-09-09,40
2018-09-16,60
2018-09-23,20
2018-09-30,41
2018-10-07,60
2018-10-14,21
2018-10-21,0
2018-10-28,60
2018-11-04,21
2018-11-11,41
2018-11-18,62
2018-11-25,21
2018-12-02,42
2018-12-09,22
2018-12-16,44
2018-12-23,47
2018-12-30,22
2019-01-06,21
2019-01-13,21
2019-01-20,20
2019-01-27,21
2019-02-03,24
2019-02-10,0
2019-02-17,40
2019-02-24,0
2019-03-03,0
2019-03-10,20
2019-03-17,21
2019-03-24,20
2019-03-31,20
2019-04-07,61
2019-04-14,20
2019-04-21,20
2019-04-28,20
2019-05-05,0
2019-05-12,59
2019-05-19,80
2019-05-26,39
2019-06-02,0
2019-06-09,0
2019-06-16,41
2019-06-23,20
2019-06-30,59
2019-07-07,0
2019-07-14,20
2019-07-21,0
2019-07-28,40
2019-08-04,0
2019-08-11,20
2019-08-18,100
2019-08-25,0
2019-09-01,20
2019-09-08,39
2019-09-15,58
2019-09-22,20
2019-09-29,40
2019-10-06,20
2019-10-13,58
2019-10-20,19
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,19
2019-12-01,19
2019-12-08,19
2019-12-15,78
2019-12-22,21
2019-12-29,0
2020-01-05,74
2020-01-12,71
2020-01-19,40
2020-01-26,39
2020-02-02,71
2020-02-09,18
2020-02-16,18
2020-02-23,17
2020-03-01,50
2020-03-08,0
