date,Pets_SG
2020-03-15,63
2020-03-22,55
2020-03-29,73
2020-04-05,63
2020-04-12,56
2020-04-19,80
2020-04-26,71
2020-05-03,66
2020-05-10,76
2020-05-17,65
2020-05-24,71
2020-05-31,81
2020-06-07,62
2020-06-14,74
2020-06-21,71
2020-06-28,57
2020-07-05,64
2020-07-12,76
2020-07-19,78
2020-07-26,100
2020-08-02,57
2020-08-09,57
2020-08-16,63
2020-08-23,86
2020-08-30,65
2020-09-06,70
2020-09-13,71
2020-09-20,79
2020-09-27,69
2020-10-04,64
2020-10-11,58
2020-10-18,73
2020-10-25,63
2020-11-01,52
2020-11-08,58
2020-11-15,76
2020-11-22,48
2020-11-29,67
2020-12-06,62
2020-12-13,59
2020-12-20,69
2020-12-27,63
2021-01-03,69
2021-01-10,64
2021-01-17,76
2021-01-24,61
2021-01-31,57
2021-02-07,46
2021-02-14,66
2021-02-21,56
2021-02-28,68
2021-03-07,74
2021-03-14,63
2021-03-21,82
2021-03-28,69
2021-04-04,62
2021-04-11,73
2021-04-18,66
2021-04-25,68
2021-05-02,66
2021-05-09,63
2021-05-16,62
2021-05-23,73
2021-05-30,73
2021-06-06,85
2021-06-13,81
2021-06-20,90
2021-06-27,69
2021-07-04,88
2021-07-11,70
2021-07-18,86
2021-07-25,80
2021-08-01,81
2021-08-08,95
2021-08-15,64
2021-08-22,77
2021-08-29,80
