date,Sports_SG
2018-01-07,60
2018-01-14,77
2018-01-21,57
2018-01-28,69
2018-02-04,72
2018-02-11,66
2018-02-18,53
2018-02-25,70
2018-03-04,67
2018-03-11,81
2018-03-18,57
2018-03-25,67
2018-04-01,76
2018-04-08,64
2018-04-15,64
2018-04-22,70
2018-04-29,65
2018-05-06,58
2018-05-13,66
2018-05-20,67
2018-05-27,65
2018-06-03,63
2018-06-10,85
2018-06-17,85
2018-06-24,100
2018-07-01,93
2018-07-08,76
2018-07-15,77
2018-07-22,65
2018-07-29,56
2018-08-05,70
2018-08-12,58
2018-08-19,72
2018-08-26,64
2018-09-02,58
2018-09-09,60
2018-09-16,58
2018-09-23,71
2018-09-30,61
2018-10-07,51
2018-10-14,60
2018-10-21,71
2018-10-28,65
2018-11-04,61
2018-11-11,59
2018-11-18,56
2018-11-25,55
2018-12-02,53
2018-12-09,63
2018-12-16,60
2018-12-23,61
2018-12-30,60
2019-01-06,70
2019-01-13,67
2019-01-20,66
2019-01-27,51
2019-02-03,66
2019-02-10,54
2019-02-17,54
2019-02-24,62
2019-03-03,68
2019-03-10,57
2019-03-17,46
2019-03-24,54
2019-03-31,69
2019-04-07,64
2019-04-14,71
2019-04-21,58
2019-04-28,62
2019-05-05,61
2019-05-12,72
2019-05-19,59
2019-05-26,68
2019-06-02,71
2019-06-09,51
2019-06-16,66
2019-06-23,64
2019-06-30,65
2019-07-07,74
2019-07-14,68
2019-07-21,62
2019-07-28,85
2019-08-04,54
2019-08-11,56
2019-08-18,67
2019-08-25,62
2019-09-01,68
2019-09-08,57
2019-09-15,65
2019-09-22,59
2019-09-29,61
2019-10-06,69
2019-10-13,74
2019-10-20,76
2019-10-27,85
2019-11-03,62
2019-11-10,70
2019-11-17,68
2019-11-24,75
2019-12-01,78
2019-12-08,74
2019-12-15,69
2019-12-22,60
2019-12-29,66
2020-01-05,72
2020-01-12,75
2020-01-19,74
2020-01-26,70
2020-02-02,62
2020-02-09,63
2020-02-16,74
2020-02-23,66
2020-03-01,78
2020-03-08,67
