date,Arts_SE
2018-01-07,78
2018-01-14,84
2018-01-21,81
2018-01-28,86
2018-02-04,90
2018-02-11,85
2018-02-18,100
2018-02-25,87
2018-03-04,92
2018-03-11,85
2018-03-18,84
2018-03-25,84
2018-04-01,93
2018-04-08,94
2018-04-15,78
2018-04-22,67
2018-04-29,91
2018-05-06,66
2018-05-13,75
2018-05-20,69
2018-05-27,76
2018-06-03,66
2018-06-10,79
2018-06-17,60
2018-06-24,65
2018-07-01,75
2018-07-08,69
2018-07-15,63
2018-07-22,66
2018-07-29,74
2018-08-05,87
2018-08-12,88
2018-08-19,78
2018-08-26,82
2018-09-02,81
2018-09-09,69
2018-09-16,80
2018-09-23,81
2018-09-30,95
2018-10-07,84
2018-10-14,84
2018-10-21,86
2018-10-28,72
2018-11-04,88
2018-11-11,89
2018-11-18,73
2018-11-25,76
2018-12-02,71
2018-12-09,79
2018-12-16,68
2018-12-23,67
2018-12-30,74
2019-01-06,90
2019-01-13,83
2019-01-20,87
2019-01-27,88
2019-02-03,83
2019-02-10,87
2019-02-17,85
2019-02-24,86
2019-03-03,76
2019-03-10,93
2019-03-17,88
2019-03-24,78
2019-03-31,83
2019-04-07,89
2019-04-14,83
2019-04-21,73
2019-04-28,85
2019-05-05,80
2019-05-12,68
2019-05-19,60
2019-05-26,70
2019-06-02,60
2019-06-09,67
2019-06-16,70
2019-06-23,59
2019-06-30,60
2019-07-07,75
2019-07-14,72
2019-07-21,73
2019-07-28,67
2019-08-04,80
2019-08-11,82
2019-08-18,76
2019-08-25,78
2019-09-01,92
2019-09-08,78
2019-09-15,89
2019-09-22,93
2019-09-29,86
2019-10-06,89
2019-10-13,85
2019-10-20,81
2019-10-27,67
2019-11-03,79
2019-11-10,78
2019-11-17,82
2019-11-24,71
2019-12-01,77
2019-12-08,69
2019-12-15,62
2019-12-22,70
2019-12-29,60
2020-01-05,84
2020-01-12,75
2020-01-19,81
2020-01-26,84
2020-02-02,82
2020-02-09,93
2020-02-16,98
2020-02-23,80
2020-03-01,84
2020-03-08,70
