date,Learning_SE
2018-01-07,70
2018-01-14,59
2018-01-21,84
2018-01-28,80
2018-02-04,80
2018-02-11,78
2018-02-18,59
2018-02-25,84
2018-03-04,79
2018-03-11,70
2018-03-18,91
2018-03-25,63
2018-04-01,55
2018-04-08,64
2018-04-15,69
2018-04-22,88
2018-04-29,65
2018-05-06,63
2018-05-13,76
2018-05-20,70
2018-05-27,64
2018-06-03,57
2018-06-10,75
2018-06-17,54
2018-06-24,56
2018-07-01,56
2018-07-08,98
2018-07-15,69
2018-07-22,70
2018-07-29,75
2018-08-05,51
2018-08-12,74
2018-08-19,57
2018-08-26,88
2018-09-02,73
2018-09-09,100
2018-09-16,85
2018-09-23,78
2018-09-30,86
2018-10-07,87
2018-10-14,94
2018-10-21,81
2018-10-28,75
2018-11-04,87
2018-11-11,84
2018-11-18,79
2018-11-25,87
2018-12-02,80
2018-12-09,70
2018-12-16,53
2018-12-23,59
2018-12-30,66
2019-01-06,77
2019-01-13,84
2019-01-20,63
2019-01-27,74
2019-02-03,79
2019-02-10,97
2019-02-17,79
2019-02-24,56
2019-03-03,78
2019-03-10,79
2019-03-17,71
2019-03-24,60
2019-03-31,65
2019-04-07,88
2019-04-14,59
2019-04-21,61
2019-04-28,69
2019-05-05,82
2019-05-12,91
2019-05-19,66
2019-05-26,64
2019-06-02,53
2019-06-09,77
2019-06-16,62
2019-06-23,58
2019-06-30,60
2019-07-07,46
2019-07-14,70
2019-07-21,64
2019-07-28,53
2019-08-04,55
2019-08-11,80
2019-08-18,58
2019-08-25,82
2019-09-01,93
2019-09-08,91
2019-09-15,73
2019-09-22,66
2019-09-29,67
2019-10-06,76
2019-10-13,74
2019-10-20,88
2019-10-27,87
2019-11-03,79
2019-11-10,80
2019-11-17,77
2019-11-24,63
2019-12-01,81
2019-12-08,54
2019-12-15,59
2019-12-22,62
2019-12-29,48
2020-01-05,80
2020-01-12,64
2020-01-19,79
2020-01-26,81
2020-02-02,83
2020-02-09,81
2020-02-16,61
2020-02-23,47
2020-03-01,70
2020-03-08,57
