date,Performing_Art_SE
2018-01-07,45
2018-01-14,67
2018-01-21,0
2018-01-28,0
2018-02-04,67
2018-02-11,46
2018-02-18,23
2018-02-25,23
2018-03-04,45
2018-03-11,67
2018-03-18,22
2018-03-25,0
2018-04-01,0
2018-04-08,23
2018-04-15,44
2018-04-22,44
2018-04-29,23
2018-05-06,0
2018-05-13,23
2018-05-20,23
2018-05-27,23
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,23
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,25
2018-07-29,94
2018-08-05,45
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,64
2018-09-16,22
2018-09-23,44
2018-09-30,22
2018-10-07,0
2018-10-14,23
2018-10-21,0
2018-10-28,0
2018-11-04,22
2018-11-11,45
2018-11-18,65
2018-11-25,87
2018-12-02,22
2018-12-09,23
2018-12-16,24
2018-12-23,0
2018-12-30,49
2019-01-06,23
2019-01-13,22
2019-01-20,44
2019-01-27,0
2019-02-03,44
2019-02-10,67
2019-02-17,0
2019-02-24,22
2019-03-03,44
2019-03-10,22
2019-03-17,22
2019-03-24,64
2019-03-31,22
2019-04-07,22
2019-04-14,0
2019-04-21,0
2019-04-28,22
2019-05-05,22
2019-05-12,43
2019-05-19,22
2019-05-26,43
2019-06-02,23
2019-06-09,45
2019-06-16,0
2019-06-23,0
2019-06-30,23
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,43
2019-08-18,0
2019-08-25,21
2019-09-01,41
2019-09-08,0
2019-09-15,63
2019-09-22,42
2019-09-29,21
2019-10-06,0
2019-10-13,40
2019-10-20,20
2019-10-27,21
2019-11-03,82
2019-11-10,20
2019-11-17,61
2019-11-24,100
2019-12-01,62
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,39
2020-01-19,0
2020-01-26,20
2020-02-02,40
2020-02-09,0
2020-02-16,20
2020-02-23,59
2020-03-01,19
2020-03-08,75
