date,Pets_SE
2020-03-15,100
2020-03-22,78
2020-03-29,92
2020-04-05,57
2020-04-12,57
2020-04-19,72
2020-04-26,77
2020-05-03,83
2020-05-10,56
2020-05-17,76
2020-05-24,95
2020-05-31,44
2020-06-07,40
2020-06-14,71
2020-06-21,78
2020-06-28,60
2020-07-05,68
2020-07-12,66
2020-07-19,81
2020-07-26,51
2020-08-02,74
2020-08-09,73
2020-08-16,68
2020-08-23,55
2020-08-30,66
2020-09-06,60
2020-09-13,69
2020-09-20,53
2020-09-27,54
2020-10-04,57
2020-10-11,52
2020-10-18,70
2020-10-25,74
2020-11-01,59
2020-11-08,67
2020-11-15,62
2020-11-22,88
2020-11-29,42
2020-12-06,61
2020-12-13,73
2020-12-20,75
2020-12-27,83
2021-01-03,84
2021-01-10,86
2021-01-17,70
2021-01-24,61
2021-01-31,78
2021-02-07,64
2021-02-14,67
2021-02-21,54
2021-02-28,58
2021-03-07,82
2021-03-14,65
2021-03-21,62
2021-03-28,83
2021-04-04,49
2021-04-11,58
2021-04-18,69
2021-04-25,76
2021-05-02,75
2021-05-09,61
2021-05-16,78
2021-05-23,79
2021-05-30,67
2021-06-06,51
2021-06-13,51
2021-06-20,64
2021-06-27,55
2021-07-04,81
2021-07-11,68
2021-07-18,82
2021-07-25,82
2021-08-01,66
2021-08-08,76
2021-08-15,59
2021-08-22,63
2021-08-29,79
