date,Cooking_TH
2018-01-07,64
2018-01-14,50
2018-01-21,56
2018-01-28,61
2018-02-04,65
2018-02-11,57
2018-02-18,48
2018-02-25,71
2018-03-04,44
2018-03-11,52
2018-03-18,54
2018-03-25,73
2018-04-01,60
2018-04-08,56
2018-04-15,50
2018-04-22,55
2018-04-29,55
2018-05-06,43
2018-05-13,60
2018-05-20,53
2018-05-27,35
2018-06-03,75
2018-06-10,62
2018-06-17,59
2018-06-24,44
2018-07-01,55
2018-07-08,51
2018-07-15,65
2018-07-22,45
2018-07-29,63
2018-08-05,52
2018-08-12,57
2018-08-19,52
2018-08-26,55
2018-09-02,68
2018-09-09,68
2018-09-16,66
2018-09-23,55
2018-09-30,46
2018-10-07,57
2018-10-14,55
2018-10-21,66
2018-10-28,59
2018-11-04,65
2018-11-11,90
2018-11-18,100
2018-11-25,83
2018-12-02,86
2018-12-09,72
2018-12-16,72
2018-12-23,86
2018-12-30,65
2019-01-06,61
2019-01-13,48
2019-01-20,57
2019-01-27,75
2019-02-03,61
2019-02-10,83
2019-02-17,57
2019-02-24,60
2019-03-03,56
2019-03-10,86
2019-03-17,69
2019-03-24,56
2019-03-31,51
2019-04-07,44
2019-04-14,57
2019-04-21,60
2019-04-28,51
2019-05-05,39
2019-05-12,43
2019-05-19,54
2019-05-26,58
2019-06-02,59
2019-06-09,80
2019-06-16,61
2019-06-23,78
2019-06-30,79
2019-07-07,69
2019-07-14,64
2019-07-21,71
2019-07-28,64
2019-08-04,64
2019-08-11,66
2019-08-18,67
2019-08-25,70
2019-09-01,67
2019-09-08,60
2019-09-15,49
2019-09-22,55
2019-09-29,48
2019-10-06,50
2019-10-13,49
2019-10-20,55
2019-10-27,48
2019-11-03,44
2019-11-10,55
2019-11-17,63
2019-11-24,61
2019-12-01,63
2019-12-08,62
2019-12-15,52
2019-12-22,80
2019-12-29,64
2020-01-05,49
2020-01-12,57
2020-01-19,74
2020-01-26,61
2020-02-02,52
2020-02-09,68
2020-02-16,43
2020-02-23,70
2020-03-01,52
2020-03-08,68
