date,Pets_TH
2018-01-07,39
2018-01-14,37
2018-01-21,42
2018-01-28,42
2018-02-04,38
2018-02-11,38
2018-02-18,42
2018-02-25,43
2018-03-04,53
2018-03-11,49
2018-03-18,58
2018-03-25,43
2018-04-01,59
2018-04-08,46
2018-04-15,39
2018-04-22,41
2018-04-29,39
2018-05-06,45
2018-05-13,43
2018-05-20,36
2018-05-27,48
2018-06-03,61
2018-06-10,41
2018-06-17,39
2018-06-24,51
2018-07-01,43
2018-07-08,42
2018-07-15,36
2018-07-22,37
2018-07-29,49
2018-08-05,51
2018-08-12,43
2018-08-19,56
2018-08-26,45
2018-09-02,48
2018-09-09,49
2018-09-16,39
2018-09-23,42
2018-09-30,68
2018-10-07,73
2018-10-14,46
2018-10-21,61
2018-10-28,61
2018-11-04,100
2018-11-11,76
2018-11-18,84
2018-11-25,71
2018-12-02,64
2018-12-09,82
2018-12-16,52
2018-12-23,48
2018-12-30,67
2019-01-06,66
2019-01-13,62
2019-01-20,49
2019-01-27,38
2019-02-03,52
2019-02-10,35
2019-02-17,49
2019-02-24,51
2019-03-03,47
2019-03-10,48
2019-03-17,59
2019-03-24,38
2019-03-31,47
2019-04-07,53
2019-04-14,54
2019-04-21,56
2019-04-28,54
2019-05-05,60
2019-05-12,54
2019-05-19,66
2019-05-26,75
2019-06-02,67
2019-06-09,63
2019-06-16,52
2019-06-23,62
2019-06-30,55
2019-07-07,62
2019-07-14,65
2019-07-21,65
2019-07-28,63
2019-08-04,64
2019-08-11,59
2019-08-18,73
2019-08-25,60
2019-09-01,63
2019-09-08,71
2019-09-15,58
2019-09-22,50
2019-09-29,65
2019-10-06,59
2019-10-13,54
2019-10-20,57
2019-10-27,56
2019-11-03,66
2019-11-10,55
2019-11-17,48
2019-11-24,52
2019-12-01,50
2019-12-08,63
2019-12-15,59
2019-12-22,71
2019-12-29,49
2020-01-05,58
2020-01-12,55
2020-01-19,58
2020-01-26,57
2020-02-02,60
2020-02-09,59
2020-02-16,52
2020-02-23,53
2020-03-01,54
2020-03-08,54
