date,Sports_TH
2020-03-15,59
2020-03-22,41
2020-03-29,38
2020-04-05,39
2020-04-12,36
2020-04-19,36
2020-04-26,37
2020-05-03,37
2020-05-10,36
2020-05-17,39
2020-05-24,42
2020-05-31,43
2020-06-07,44
2020-06-14,53
2020-06-21,68
2020-06-28,72
2020-07-05,74
2020-07-12,77
2020-07-19,79
2020-07-26,73
2020-08-02,79
2020-08-09,78
2020-08-16,72
2020-08-23,76
2020-08-30,70
2020-09-06,75
2020-09-13,85
2020-09-20,99
2020-09-27,90
2020-10-04,85
2020-10-11,75
2020-10-18,84
2020-10-25,84
2020-11-01,88
2020-11-08,80
2020-11-15,65
2020-11-22,82
2020-11-29,83
2020-12-06,86
2020-12-13,86
2020-12-20,86
2020-12-27,79
2021-01-03,76
2021-01-10,78
2021-01-17,90
2021-01-24,85
2021-01-31,84
2021-02-07,73
2021-02-14,75
2021-02-21,77
2021-02-28,71
2021-03-07,81
2021-03-14,80
2021-03-21,68
2021-03-28,63
2021-04-04,71
2021-04-11,73
2021-04-18,64
2021-04-25,65
2021-05-02,67
2021-05-09,74
2021-05-16,73
2021-05-23,78
2021-05-30,69
2021-06-06,73
2021-06-13,76
2021-06-20,81
2021-06-27,81
2021-07-04,76
2021-07-11,61
2021-07-18,73
2021-07-25,100
2021-08-01,95
2021-08-08,81
2021-08-15,76
2021-08-22,83
2021-08-29,80
