date,Collecting_TR
2018-01-07,0
2018-01-14,0
2018-01-21,16
2018-01-28,34
2018-02-04,16
2018-02-11,62
2018-02-18,49
2018-02-25,32
2018-03-04,0
2018-03-11,49
2018-03-18,33
2018-03-25,33
2018-04-01,52
2018-04-08,67
2018-04-15,35
2018-04-22,54
2018-04-29,17
2018-05-06,84
2018-05-13,0
2018-05-20,17
2018-05-27,0
2018-06-03,17
2018-06-10,0
2018-06-17,17
2018-06-24,67
2018-07-01,18
2018-07-08,17
2018-07-15,0
2018-07-22,0
2018-07-29,17
2018-08-05,17
2018-08-12,0
2018-08-19,23
2018-08-26,17
2018-09-02,53
2018-09-09,0
2018-09-16,18
2018-09-23,17
2018-09-30,0
2018-10-07,36
2018-10-14,54
2018-10-21,53
2018-10-28,36
2018-11-04,52
2018-11-11,53
2018-11-18,34
2018-11-25,0
2018-12-02,34
2018-12-09,34
2018-12-16,68
2018-12-23,35
2018-12-30,34
2019-01-06,17
2019-01-13,34
2019-01-20,52
2019-01-27,87
2019-02-03,34
2019-02-10,100
2019-02-17,51
2019-02-24,67
2019-03-03,36
2019-03-10,53
2019-03-17,89
2019-03-24,35
2019-03-31,49
2019-04-07,0
2019-04-14,17
2019-04-21,0
2019-04-28,0
2019-05-05,17
2019-05-12,0
2019-05-19,17
2019-05-26,0
2019-06-02,0
2019-06-09,17
2019-06-16,36
2019-06-23,71
2019-06-30,0
2019-07-07,37
2019-07-14,18
2019-07-21,0
2019-07-28,19
2019-08-04,0
2019-08-11,61
2019-08-18,53
2019-08-25,0
2019-09-01,18
2019-09-08,0
2019-09-15,34
2019-09-22,17
2019-09-29,50
2019-10-06,50
2019-10-13,33
2019-10-20,0
2019-10-27,34
2019-11-03,33
2019-11-10,50
2019-11-17,33
2019-11-24,64
2019-12-01,65
2019-12-08,32
2019-12-15,32
2019-12-22,46
2019-12-29,16
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,15
2020-02-09,30
2020-02-16,30
2020-02-23,42
2020-03-01,15
2020-03-08,44
