date,Learning_TR
2018-01-07,70
2018-01-14,52
2018-01-21,49
2018-01-28,46
2018-02-04,62
2018-02-11,66
2018-02-18,72
2018-02-25,55
2018-03-04,65
2018-03-11,59
2018-03-18,63
2018-03-25,65
2018-04-01,63
2018-04-08,45
2018-04-15,43
2018-04-22,57
2018-04-29,44
2018-05-06,54
2018-05-13,59
2018-05-20,65
2018-05-27,43
2018-06-03,53
2018-06-10,34
2018-06-17,43
2018-06-24,38
2018-07-01,46
2018-07-08,45
2018-07-15,41
2018-07-22,55
2018-07-29,41
2018-08-05,39
2018-08-12,47
2018-08-19,44
2018-08-26,53
2018-09-02,62
2018-09-09,62
2018-09-16,61
2018-09-23,61
2018-09-30,69
2018-10-07,78
2018-10-14,82
2018-10-21,80
2018-10-28,64
2018-11-04,92
2018-11-11,71
2018-11-18,58
2018-11-25,67
2018-12-02,76
2018-12-09,67
2018-12-16,87
2018-12-23,60
2018-12-30,59
2019-01-06,54
2019-01-13,59
2019-01-20,47
2019-01-27,52
2019-02-03,76
2019-02-10,66
2019-02-17,79
2019-02-24,81
2019-03-03,74
2019-03-10,85
2019-03-17,100
2019-03-24,74
2019-03-31,58
2019-04-07,58
2019-04-14,75
2019-04-21,69
2019-04-28,72
2019-05-05,64
2019-05-12,68
2019-05-19,47
2019-05-26,42
2019-06-02,36
2019-06-09,64
2019-06-16,58
2019-06-23,68
2019-06-30,47
2019-07-07,61
2019-07-14,68
2019-07-21,60
2019-07-28,29
2019-08-04,51
2019-08-11,39
2019-08-18,52
2019-08-25,50
2019-09-01,49
2019-09-08,56
2019-09-15,64
2019-09-22,78
2019-09-29,80
2019-10-06,83
2019-10-13,95
2019-10-20,89
2019-10-27,77
2019-11-03,80
2019-11-10,77
2019-11-17,76
2019-11-24,74
2019-12-01,86
2019-12-08,70
2019-12-15,93
2019-12-22,73
2019-12-29,65
2020-01-05,85
2020-01-12,58
2020-01-19,57
2020-01-26,54
2020-02-02,61
2020-02-09,71
2020-02-16,77
2020-02-23,70
2020-03-01,75
2020-03-08,70
