date,Pets_TR
2018-01-07,58
2018-01-14,56
2018-01-21,69
2018-01-28,65
2018-02-04,61
2018-02-11,50
2018-02-18,55
2018-02-25,64
2018-03-04,52
2018-03-11,68
2018-03-18,54
2018-03-25,54
2018-04-01,53
2018-04-08,64
2018-04-15,46
2018-04-22,49
2018-04-29,50
2018-05-06,53
2018-05-13,44
2018-05-20,52
2018-05-27,69
2018-06-03,50
2018-06-10,65
2018-06-17,60
2018-06-24,55
2018-07-01,58
2018-07-08,55
2018-07-15,61
2018-07-22,62
2018-07-29,65
2018-08-05,58
2018-08-12,52
2018-08-19,64
2018-08-26,65
2018-09-02,52
2018-09-09,51
2018-09-16,55
2018-09-23,52
2018-09-30,65
2018-10-07,51
2018-10-14,52
2018-10-21,58
2018-10-28,49
2018-11-04,43
2018-11-11,49
2018-11-18,51
2018-11-25,54
2018-12-02,52
2018-12-09,53
2018-12-16,60
2018-12-23,64
2018-12-30,61
2019-01-06,64
2019-01-13,59
2019-01-20,55
2019-01-27,72
2019-02-03,66
2019-02-10,66
2019-02-17,73
2019-02-24,64
2019-03-03,77
2019-03-10,62
2019-03-17,72
2019-03-24,66
2019-03-31,41
2019-04-07,67
2019-04-14,57
2019-04-21,67
2019-04-28,54
2019-05-05,51
2019-05-12,51
2019-05-19,52
2019-05-26,66
2019-06-02,100
2019-06-09,68
2019-06-16,56
2019-06-23,55
2019-06-30,58
2019-07-07,64
2019-07-14,59
2019-07-21,54
2019-07-28,54
2019-08-04,67
2019-08-11,76
2019-08-18,64
2019-08-25,64
2019-09-01,62
2019-09-08,54
2019-09-15,60
2019-09-22,45
2019-09-29,63
2019-10-06,68
2019-10-13,59
2019-10-20,47
2019-10-27,64
2019-11-03,51
2019-11-10,41
2019-11-17,62
2019-11-24,48
2019-12-01,57
2019-12-08,54
2019-12-15,64
2019-12-22,51
2019-12-29,58
2020-01-05,66
2020-01-12,55
2020-01-19,58
2020-01-26,62
2020-02-02,60
2020-02-09,57
2020-02-16,47
2020-02-23,46
2020-03-01,48
2020-03-08,69
