date,Sports_TR
2020-03-15,52
2020-03-22,35
2020-03-29,35
2020-04-05,36
2020-04-12,40
2020-04-19,37
2020-04-26,42
2020-05-03,44
2020-05-10,49
2020-05-17,46
2020-05-24,51
2020-05-31,50
2020-06-07,55
2020-06-14,57
2020-06-21,59
2020-06-28,59
2020-07-05,67
2020-07-12,61
2020-07-19,65
2020-07-26,60
2020-08-02,56
2020-08-09,64
2020-08-16,62
2020-08-23,64
2020-08-30,71
2020-09-06,68
2020-09-13,77
2020-09-20,80
2020-09-27,73
2020-10-04,62
2020-10-11,55
2020-10-18,61
2020-10-25,60
2020-11-01,57
2020-11-08,47
2020-11-15,51
2020-11-22,52
2020-11-29,60
2020-12-06,59
2020-12-13,59
2020-12-20,57
2020-12-27,50
2021-01-03,69
2021-01-10,62
2021-01-17,79
2021-01-24,82
2021-01-31,99
2021-02-07,77
2021-02-14,61
2021-02-21,64
2021-02-28,77
2021-03-07,71
2021-03-14,67
2021-03-21,61
2021-03-28,56
2021-04-04,75
2021-04-11,66
2021-04-18,74
2021-04-25,78
2021-05-02,79
2021-05-09,100
2021-05-16,59
2021-05-23,60
2021-05-30,59
2021-06-06,58
2021-06-13,61
2021-06-20,58
2021-06-27,59
2021-07-04,58
2021-07-11,59
2021-07-18,55
2021-07-25,70
2021-08-01,69
2021-08-08,76
2021-08-15,78
2021-08-22,95
2021-08-29,78
