date,Collecting_US
2020-03-15,56
2020-03-22,62
2020-03-29,62
2020-04-05,61
2020-04-12,71
2020-04-19,74
2020-04-26,70
2020-05-03,68
2020-05-10,71
2020-05-17,72
2020-05-24,67
2020-05-31,70
2020-06-07,68
2020-06-14,83
2020-06-21,64
2020-06-28,74
2020-07-05,79
2020-07-12,70
2020-07-19,78
2020-07-26,80
2020-08-02,76
2020-08-09,78
2020-08-16,78
2020-08-23,77
2020-08-30,81
2020-09-06,70
2020-09-13,68
2020-09-20,70
2020-09-27,69
2020-10-04,69
2020-10-11,79
2020-10-18,80
2020-10-25,77
2020-11-01,60
2020-11-08,81
2020-11-15,85
2020-11-22,84
2020-11-29,93
2020-12-06,100
2020-12-13,94
2020-12-20,78
2020-12-27,78
2021-01-03,75
2021-01-10,75
2021-01-17,80
2021-01-24,72
2021-01-31,82
2021-02-07,82
2021-02-14,79
2021-02-21,75
2021-02-28,81
2021-03-07,88
2021-03-14,76
2021-03-21,80
2021-03-28,82
2021-04-04,74
2021-04-11,80
2021-04-18,79
2021-04-25,86
2021-05-02,77
2021-05-09,77
2021-05-16,75
2021-05-23,86
2021-05-30,78
2021-06-06,74
2021-06-13,75
2021-06-20,79
2021-06-27,86
2021-07-04,75
2021-07-11,76
2021-07-18,78
2021-07-25,81
2021-08-01,73
2021-08-08,74
2021-08-15,75
2021-08-22,91
2021-08-29,79
