date,Cooking_US
2020-03-15,41
2020-03-22,45
2020-03-29,47
2020-04-05,53
2020-04-12,56
2020-04-19,47
2020-04-26,47
2020-05-03,45
2020-05-10,46
2020-05-17,44
2020-05-24,45
2020-05-31,38
2020-06-07,39
2020-06-14,40
2020-06-21,41
2020-06-28,42
2020-07-05,40
2020-07-12,39
2020-07-19,40
2020-07-26,40
2020-08-02,40
2020-08-09,39
2020-08-16,39
2020-08-23,37
2020-08-30,38
2020-09-06,39
2020-09-13,36
2020-09-20,36
2020-09-27,37
2020-10-04,37
2020-10-11,38
2020-10-18,37
2020-10-25,38
2020-11-01,33
2020-11-08,42
2020-11-15,47
2020-11-22,100
2020-11-29,43
2020-12-06,43
2020-12-13,44
2020-12-20,77
2020-12-27,52
2021-01-03,43
2021-01-10,42
2021-01-17,42
2021-01-24,42
2021-01-31,41
2021-02-07,42
2021-02-14,45
2021-02-21,38
2021-02-28,38
2021-03-07,36
2021-03-14,38
2021-03-21,36
2021-03-28,40
2021-04-04,42
2021-04-11,36
2021-04-18,35
2021-04-25,34
2021-05-02,34
2021-05-09,36
2021-05-16,35
2021-05-23,35
2021-05-30,36
2021-06-06,35
2021-06-13,36
2021-06-20,36
2021-06-27,36
2021-07-04,38
2021-07-11,34
2021-07-18,36
2021-07-25,35
2021-08-01,36
2021-08-08,36
2021-08-15,35
2021-08-22,34
2021-08-29,34
