date,Pets_US
2020-03-15,76
2020-03-22,83
2020-03-29,80
2020-04-05,91
2020-04-12,89
2020-04-19,91
2020-04-26,93
2020-05-03,96
2020-05-10,94
2020-05-17,96
2020-05-24,96
2020-05-31,90
2020-06-07,95
2020-06-14,97
2020-06-21,95
2020-06-28,97
2020-07-05,92
2020-07-12,94
2020-07-19,94
2020-07-26,92
2020-08-02,94
2020-08-09,92
2020-08-16,94
2020-08-23,94
2020-08-30,90
2020-09-06,90
2020-09-13,84
2020-09-20,85
2020-09-27,86
2020-10-04,83
2020-10-11,89
2020-10-18,86
2020-10-25,82
2020-11-01,72
2020-11-08,89
2020-11-15,95
2020-11-22,93
2020-11-29,90
2020-12-06,98
2020-12-13,90
2020-12-20,91
2020-12-27,97
2021-01-03,86
2021-01-10,88
2021-01-17,91
2021-01-24,84
2021-01-31,85
2021-02-07,88
2021-02-14,92
2021-02-21,89
2021-02-28,89
2021-03-07,89
2021-03-14,89
2021-03-21,90
2021-03-28,93
2021-04-04,96
2021-04-11,100
2021-04-18,92
2021-04-25,89
2021-05-02,90
2021-05-09,92
2021-05-16,92
2021-05-23,92
2021-05-30,96
2021-06-06,93
2021-06-13,96
2021-06-20,95
2021-06-27,99
2021-07-04,96
2021-07-11,96
2021-07-18,98
2021-07-25,94
2021-08-01,90
2021-08-08,91
2021-08-15,90
2021-08-22,88
2021-08-29,83
