date,Arts_VN
2020-03-15,71
2020-03-22,77
2020-03-29,82
2020-04-05,91
2020-04-12,98
2020-04-19,98
2020-04-26,84
2020-05-03,78
2020-05-10,91
2020-05-17,85
2020-05-24,100
2020-05-31,89
2020-06-07,91
2020-06-14,91
2020-06-21,88
2020-06-28,79
2020-07-05,67
2020-07-12,72
2020-07-19,65
2020-07-26,64
2020-08-02,72
2020-08-09,63
2020-08-16,66
2020-08-23,67
2020-08-30,66
2020-09-06,96
2020-09-13,88
2020-09-20,70
2020-09-27,66
2020-10-04,79
2020-10-11,77
2020-10-18,79
2020-10-25,76
2020-11-01,79
2020-11-08,82
2020-11-15,71
2020-11-22,78
2020-11-29,76
2020-12-06,79
2020-12-13,84
2020-12-20,88
2020-12-27,80
2021-01-03,69
2021-01-10,72
2021-01-17,73
2021-01-24,72
2021-01-31,71
2021-02-07,46
2021-02-14,63
2021-02-21,90
2021-02-28,82
2021-03-07,80
2021-03-14,85
2021-03-21,78
2021-03-28,79
2021-04-04,71
2021-04-11,86
2021-04-18,88
2021-04-25,82
2021-05-02,92
2021-05-09,85
2021-05-16,91
2021-05-23,83
2021-05-30,75
2021-06-06,67
2021-06-13,66
2021-06-20,71
2021-06-27,79
2021-07-04,75
2021-07-11,86
2021-07-18,78
2021-07-25,71
2021-08-01,79
2021-08-08,75
2021-08-15,63
2021-08-22,62
2021-08-29,64
