date,Cooking_VN
2020-03-15,61
2020-03-22,67
2020-03-29,84
2020-04-05,99
2020-04-12,100
2020-04-19,84
2020-04-26,79
2020-05-03,69
2020-05-10,65
2020-05-17,58
2020-05-24,57
2020-05-31,59
2020-06-07,56
2020-06-14,57
2020-06-21,56
2020-06-28,57
2020-07-05,52
2020-07-12,56
2020-07-19,59
2020-07-26,55
2020-08-02,60
2020-08-09,63
2020-08-16,64
2020-08-23,64
2020-08-30,62
2020-09-06,56
2020-09-13,54
2020-09-20,54
2020-09-27,49
2020-10-04,52
2020-10-11,53
2020-10-18,50
2020-10-25,48
2020-11-01,49
2020-11-08,53
2020-11-15,50
2020-11-22,47
2020-11-29,49
2020-12-06,49
2020-12-13,50
2020-12-20,48
2020-12-27,49
2021-01-03,50
2021-01-10,48
2021-01-17,47
2021-01-24,45
2021-01-31,49
2021-02-07,64
2021-02-14,55
2021-02-21,53
2021-02-28,52
2021-03-07,52
2021-03-14,50
2021-03-21,51
2021-03-28,49
2021-04-04,50
2021-04-11,49
2021-04-18,52
2021-04-25,48
2021-05-02,50
2021-05-09,53
2021-05-16,64
2021-05-23,60
2021-05-30,66
2021-06-06,70
2021-06-13,62
2021-06-20,63
2021-06-27,63
2021-07-04,66
2021-07-11,74
2021-07-18,83
2021-07-25,81
2021-08-01,87
2021-08-08,92
2021-08-15,91
2021-08-22,84
2021-08-29,91
