date,Learning_VN
2020-03-15,73
2020-03-22,81
2020-03-29,78
2020-04-05,95
2020-04-12,100
2020-04-19,72
2020-04-26,77
2020-05-03,67
2020-05-10,61
2020-05-17,69
2020-05-24,74
2020-05-31,67
2020-06-07,69
2020-06-14,75
2020-06-21,74
2020-06-28,68
2020-07-05,68
2020-07-12,60
2020-07-19,64
2020-07-26,59
2020-08-02,60
2020-08-09,65
2020-08-16,59
2020-08-23,71
2020-08-30,64
2020-09-06,62
2020-09-13,76
2020-09-20,64
2020-09-27,65
2020-10-04,51
2020-10-11,52
2020-10-18,50
2020-10-25,60
2020-11-01,59
2020-11-08,62
2020-11-15,53
2020-11-22,45
2020-11-29,66
2020-12-06,49
2020-12-13,49
2020-12-20,55
2020-12-27,38
2021-01-03,53
2021-01-10,47
2021-01-17,48
2021-01-24,43
2021-01-31,49
2021-02-07,27
2021-02-14,28
2021-02-21,44
2021-02-28,46
2021-03-07,55
2021-03-14,54
2021-03-21,48
2021-03-28,57
2021-04-04,58
2021-04-11,58
2021-04-18,61
2021-04-25,53
2021-05-02,61
2021-05-09,56
2021-05-16,59
2021-05-23,58
2021-05-30,52
2021-06-06,59
2021-06-13,50
2021-06-20,49
2021-06-27,52
2021-07-04,49
2021-07-11,55
2021-07-18,55
2021-07-25,53
2021-08-01,59
2021-08-08,48
2021-08-15,55
2021-08-22,53
2021-08-29,49
