date,Music_VN
2018-01-07,70
2018-01-14,68
2018-01-21,66
2018-01-28,69
2018-02-04,77
2018-02-11,100
2018-02-18,71
2018-02-25,65
2018-03-04,66
2018-03-11,65
2018-03-18,66
2018-03-25,65
2018-04-01,64
2018-04-08,63
2018-04-15,63
2018-04-22,62
2018-04-29,64
2018-05-06,59
2018-05-13,59
2018-05-20,63
2018-05-27,62
2018-06-03,61
2018-06-10,52
2018-06-17,49
2018-06-24,47
2018-07-01,49
2018-07-08,53
2018-07-15,58
2018-07-22,57
2018-07-29,56
2018-08-05,55
2018-08-12,56
2018-08-19,54
2018-08-26,55
2018-09-02,59
2018-09-09,56
2018-09-16,57
2018-09-23,56
2018-09-30,54
2018-10-07,57
2018-10-14,59
2018-10-21,56
2018-10-28,55
2018-11-04,55
2018-11-11,55
2018-11-18,52
2018-11-25,54
2018-12-02,52
2018-12-09,49
2018-12-16,49
2018-12-23,50
2018-12-30,53
2019-01-06,49
2019-01-13,50
2019-01-20,49
2019-01-27,58
2019-02-03,71
2019-02-10,47
2019-02-17,44
2019-02-24,44
2019-03-03,45
2019-03-10,44
2019-03-17,44
2019-03-24,44
2019-03-31,44
2019-04-07,44
2019-04-14,43
2019-04-21,43
2019-04-28,44
2019-05-05,42
2019-05-12,42
2019-05-19,41
2019-05-26,41
2019-06-02,38
2019-06-09,39
2019-06-16,38
2019-06-23,37
2019-06-30,38
2019-07-07,38
2019-07-14,36
2019-07-21,37
2019-07-28,36
2019-08-04,36
2019-08-11,38
2019-08-18,37
2019-08-25,38
2019-09-01,37
2019-09-08,36
2019-09-15,36
2019-09-22,37
2019-09-29,37
2019-10-06,37
2019-10-13,36
2019-10-20,36
2019-10-27,36
2019-11-03,36
2019-11-10,35
2019-11-17,34
2019-11-24,32
2019-12-01,31
2019-12-08,34
2019-12-15,35
2019-12-22,36
2019-12-29,37
2020-01-05,35
2020-01-12,35
2020-01-19,49
2020-01-26,38
2020-02-02,31
2020-02-09,32
2020-02-16,32
2020-02-23,32
2020-03-01,31
2020-03-08,31
