date,Pets_VN
2018-01-07,54
2018-01-14,52
2018-01-21,49
2018-01-28,42
2018-02-04,47
2018-02-11,45
2018-02-18,52
2018-02-25,50
2018-03-04,44
2018-03-11,45
2018-03-18,57
2018-03-25,54
2018-04-01,50
2018-04-08,51
2018-04-15,51
2018-04-22,47
2018-04-29,57
2018-05-06,49
2018-05-13,42
2018-05-20,50
2018-05-27,50
2018-06-03,53
2018-06-10,45
2018-06-17,35
2018-06-24,46
2018-07-01,45
2018-07-08,58
2018-07-15,52
2018-07-22,52
2018-07-29,53
2018-08-05,54
2018-08-12,49
2018-08-19,49
2018-08-26,45
2018-09-02,51
2018-09-09,45
2018-09-16,46
2018-09-23,49
2018-09-30,71
2018-10-07,79
2018-10-14,74
2018-10-21,93
2018-10-28,75
2018-11-04,69
2018-11-11,66
2018-11-18,63
2018-11-25,54
2018-12-02,52
2018-12-09,70
2018-12-16,51
2018-12-23,74
2018-12-30,72
2019-01-06,62
2019-01-13,62
2019-01-20,67
2019-01-27,74
2019-02-03,84
2019-02-10,84
2019-02-17,66
2019-02-24,84
2019-03-03,71
2019-03-10,88
2019-03-17,81
2019-03-24,68
2019-03-31,57
2019-04-07,60
2019-04-14,63
2019-04-21,59
2019-04-28,70
2019-05-05,68
2019-05-12,66
2019-05-19,81
2019-05-26,84
2019-06-02,92
2019-06-09,87
2019-06-16,80
2019-06-23,85
2019-06-30,74
2019-07-07,100
2019-07-14,89
2019-07-21,88
2019-07-28,80
2019-08-04,92
2019-08-11,87
2019-08-18,76
2019-08-25,67
2019-09-01,66
2019-09-08,74
2019-09-15,76
2019-09-22,68
2019-09-29,58
2019-10-06,64
2019-10-13,67
2019-10-20,71
2019-10-27,62
2019-11-03,64
2019-11-10,67
2019-11-17,77
2019-11-24,68
2019-12-01,80
2019-12-08,91
2019-12-15,80
2019-12-22,78
2019-12-29,85
2020-01-05,74
2020-01-12,65
2020-01-19,64
2020-01-26,74
2020-02-02,84
2020-02-09,73
2020-02-16,73
2020-02-23,75
2020-03-01,68
2020-03-08,68
