date,Collecting_ZA
2018-01-07,46
2018-01-14,30
2018-01-21,30
2018-01-28,15
2018-02-04,59
2018-02-11,22
2018-02-18,37
2018-02-25,58
2018-03-04,43
2018-03-11,58
2018-03-18,31
2018-03-25,41
2018-04-01,54
2018-04-08,88
2018-04-15,15
2018-04-22,39
2018-04-29,39
2018-05-06,68
2018-05-13,38
2018-05-20,39
2018-05-27,46
2018-06-03,79
2018-06-10,100
2018-06-17,47
2018-06-24,32
2018-07-01,79
2018-07-08,60
2018-07-15,32
2018-07-22,30
2018-07-29,93
2018-08-05,37
2018-08-12,36
2018-08-19,51
2018-08-26,71
2018-09-02,68
2018-09-09,43
2018-09-16,65
2018-09-23,46
2018-09-30,36
2018-10-07,66
2018-10-14,59
2018-10-21,29
2018-10-28,63
2018-11-04,28
2018-11-11,44
2018-11-18,36
2018-11-25,44
2018-12-02,69
2018-12-09,70
2018-12-16,25
2018-12-23,87
2018-12-30,25
2019-01-06,22
2019-01-13,37
2019-01-20,28
2019-01-27,78
2019-02-03,41
2019-02-10,49
2019-02-17,28
2019-02-24,63
2019-03-03,42
2019-03-10,84
2019-03-17,55
2019-03-24,14
2019-03-31,57
2019-04-07,72
2019-04-14,31
2019-04-21,61
2019-04-28,50
2019-05-05,42
2019-05-12,36
2019-05-19,58
2019-05-26,57
2019-06-02,20
2019-06-09,65
2019-06-16,31
2019-06-23,29
2019-06-30,28
2019-07-07,28
2019-07-14,28
2019-07-21,78
2019-07-28,34
2019-08-04,61
2019-08-11,92
2019-08-18,47
2019-08-25,66
2019-09-01,32
2019-09-08,40
2019-09-15,13
2019-09-22,49
2019-09-29,63
2019-10-06,63
2019-10-13,77
2019-10-20,38
2019-10-27,44
2019-11-03,31
2019-11-10,57
2019-11-17,45
2019-11-24,44
2019-12-01,46
2019-12-08,83
2019-12-15,7
2019-12-22,67
2019-12-29,46
2020-01-05,31
2020-01-12,60
2020-01-19,62
2020-01-26,25
2020-02-02,19
2020-02-09,37
2020-02-16,12
2020-02-23,30
2020-03-01,59
2020-03-08,30
