date,Crafts_ZA
2020-03-15,59
2020-03-22,66
2020-03-29,74
2020-04-05,79
2020-04-12,99
2020-04-19,83
2020-04-26,85
2020-05-03,87
2020-05-10,98
2020-05-17,77
2020-05-24,76
2020-05-31,82
2020-06-07,82
2020-06-14,83
2020-06-21,76
2020-06-28,83
2020-07-05,67
2020-07-12,75
2020-07-19,71
2020-07-26,65
2020-08-02,63
2020-08-09,76
2020-08-16,73
2020-08-23,81
2020-08-30,46
2020-09-06,58
2020-09-13,72
2020-09-20,62
2020-09-27,50
2020-10-04,63
2020-10-11,53
2020-10-18,59
2020-10-25,63
2020-11-01,46
2020-11-08,61
2020-11-15,77
2020-11-22,50
2020-11-29,64
2020-12-06,62
2020-12-13,57
2020-12-20,60
2020-12-27,60
2021-01-03,58
2021-01-10,56
2021-01-17,45
2021-01-24,53
2021-01-31,46
2021-02-07,74
2021-02-14,65
2021-02-21,61
2021-02-28,49
2021-03-07,53
2021-03-14,65
2021-03-21,81
2021-03-28,44
2021-04-04,60
2021-04-11,66
2021-04-18,72
2021-04-25,60
2021-05-02,65
2021-05-09,38
2021-05-16,59
2021-05-23,64
2021-05-30,50
2021-06-06,79
2021-06-13,100
2021-06-20,74
2021-06-27,70
2021-07-04,64
2021-07-11,57
2021-07-18,65
2021-07-25,63
2021-08-01,52
2021-08-08,60
2021-08-15,60
2021-08-22,41
2021-08-29,58
