date,Music_ZA
2020-03-15,77
2020-03-22,80
2020-03-29,98
2020-04-05,100
2020-04-12,89
2020-04-19,82
2020-04-26,86
2020-05-03,91
2020-05-10,85
2020-05-17,88
2020-05-24,82
2020-05-31,81
2020-06-07,80
2020-06-14,79
2020-06-21,86
2020-06-28,85
2020-07-05,82
2020-07-12,78
2020-07-19,78
2020-07-26,83
2020-08-02,93
2020-08-09,86
2020-08-16,84
2020-08-23,86
2020-08-30,82
2020-09-06,85
2020-09-13,79
2020-09-20,80
2020-09-27,83
2020-10-04,83
2020-10-11,89
2020-10-18,87
2020-10-25,84
2020-11-01,82
2020-11-08,81
2020-11-15,79
2020-11-22,85
2020-11-29,93
2020-12-06,94
2020-12-13,86
2020-12-20,99
2020-12-27,82
2021-01-03,71
2021-01-10,71
2021-01-17,71
2021-01-24,81
2021-01-31,76
2021-02-07,72
2021-02-14,71
2021-02-21,73
2021-02-28,75
2021-03-07,74
2021-03-14,76
2021-03-21,78
2021-03-28,82
2021-04-04,75
2021-04-11,74
2021-04-18,76
2021-04-25,73
2021-05-02,75
2021-05-09,76
2021-05-16,78
2021-05-23,78
2021-05-30,75
2021-06-06,69
2021-06-13,73
2021-06-20,74
2021-06-27,74
2021-07-04,76
2021-07-11,71
2021-07-18,75
2021-07-25,76
2021-08-01,79
2021-08-08,77
2021-08-15,89
2021-08-22,90
2021-08-29,94
