Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,FRA-JPN,0.7949273783854888,ARG-KOR,-0.445031351727891
2,BRA-FRA,0.7739592633638297,BRA-KOR,-0.391197066920002
3,BRA-JPN,0.7559710421908238,JPN-NLD,-0.35623782701180423
4,FRA-ITA,0.7156284754422366,BRA-NLD,-0.34690855583511965
5,ITA-JPN,0.6185102344235092,FRA-KOR,-0.3273531386877265
6,BRA-ITA,0.5693263678288858,ARG-THA,-0.30228470511334826
7,ESP-GBR,0.4892054025003098,ARG-NLD,-0.30115788856886294
8,ARG-BRA,0.4808345653864815,JPN-KOR,-0.288761080162221
9,FRA-RUS,0.46194523247897024,AUS-FRA,-0.2708057410123475
10,FRA-PRT,0.46021179212813956,FRA-NLD,-0.261124386817349
