Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,GBR-IRL,0.9808299080445649,AUT-POL,-0.6524721910804423
2,ESP-FRA,0.9630372399530468,BEL-POL,-0.6504285213655231
3,IDN-SGP,0.9070025726114013,CHE-POL,-0.6360429862606992
4,FRA-GBR,0.906046794564841,DEU-POL,-0.5988437889406958
5,ESP-PRT,0.8964287602664638,ITA-POL,-0.5825299044944362
6,CHE-DEU,0.8940578503336514,NLD-POL,-0.5678796997074665
7,MYS-PHL,0.8918408500008675,FRA-POL,-0.5377797769275011
8,BEL-DEU,0.8908579084752251,IRN-POL,-0.5228705954773754
9,IND-SAU,0.8878796515604575,MYS-POL,-0.5105475186361189
10,SAU-SGP,0.8870648808915517,CZE-POL,-0.48703860041629143
