Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,CHE-FRA,0.5411879841440854,THA-VNM,-0.4652132502099596
2,PHL-SAU,0.4827646927710614,ROU-TUR,-0.4373390521151937
3,PRT-VNM,0.47333957418612344,CAN-ZAF,-0.4256761006647776
4,NZL-TUR,0.45943770629963543,BEL-NLD,-0.3727974602077723
5,CHE-GBR,0.45413902493316016,BEL-HKG,-0.35901209884982327
6,MEX-NZL,0.44368268760900503,CAN-CHL,-0.35726068804390504
7,BRA-GBR,0.4433657572833793,DEU-IRN,-0.35639422615461047
8,IDN-ROU,0.4413014505679165,IDN-THA,-0.3556651273522664
9,COL-GBR,0.4388150237694426,GBR-POL,-0.3522116774032155
10,IRN-VNM,0.43284729804226046,ARE-FIN,-0.3462188109312628
