Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,JPN-THA,0.8608649307915125,ITA-JPN,-0.9267574836191428
2,ITA-POL,0.8338990969268096,JPN-POL,-0.8248041817421007
3,DEU-ITA,0.818754176127611,ITA-THA,-0.8233895072733133
4,ITA-NLD,0.8030883256569519,JPN-NLD,-0.7768875310606327
5,FRA-ITA,0.7863928816089224,DEU-JPN,-0.7370879012215307
6,NLD-POL,0.7340833438177533,FRA-JPN,-0.7051560962946795
7,BEL-ITA,0.7313179538807649,NLD-THA,-0.7037335869320382
8,DEU-NLD,0.713669933390768,DEU-THA,-0.6986296973828264
9,DEU-POL,0.7058070473897532,BEL-JPN,-0.6770391340621648
10,DEU-FRA,0.7053923580333548,BEL-THA,-0.6687272554810507
