Category: All categories

Week,Pet: (United Arab Emirates)
2018-01-07,55
2018-01-14,52
2018-01-21,53
2018-01-28,62
2018-02-04,50
2018-02-11,49
2018-02-18,52
2018-02-25,67
2018-03-04,65
2018-03-11,64
2018-03-18,50
2018-03-25,53
2018-04-01,53
2018-04-08,59
2018-04-15,42
2018-04-22,48
2018-04-29,46
2018-05-06,34
2018-05-13,32
2018-05-20,55
2018-05-27,57
2018-06-03,54
2018-06-10,45
2018-06-17,35
2018-06-24,57
2018-07-01,49
2018-07-08,56
2018-07-15,65
2018-07-22,45
2018-07-29,34
2018-08-05,58
2018-08-12,55
2018-08-19,67
2018-08-26,57
2018-09-02,42
2018-09-09,49
2018-09-16,61
2018-09-23,66
2018-09-30,40
2018-10-07,48
2018-10-14,62
2018-10-21,53
2018-10-28,56
2018-11-04,36
2018-11-11,42
2018-11-18,41
2018-11-25,65
2018-12-02,44
2018-12-09,45
2018-12-16,55
2018-12-23,74
2018-12-30,73
2019-01-06,40
2019-01-13,58
2019-01-20,62
2019-01-27,47
2019-02-03,70
2019-02-10,58
2019-02-17,56
2019-02-24,58
2019-03-03,51
2019-03-10,64
2019-03-17,51
2019-03-24,49
2019-03-31,58
2019-04-07,49
2019-04-14,41
2019-04-21,48
2019-04-28,50
2019-05-05,46
2019-05-12,42
2019-05-19,69
2019-05-26,58
2019-06-02,68
2019-06-09,71
2019-06-16,72
2019-06-23,49
2019-06-30,56
2019-07-07,69
2019-07-14,61
2019-07-21,69
2019-07-28,56
2019-08-04,61
2019-08-11,94
2019-08-18,68
2019-08-25,60
2019-09-01,62
2019-09-08,57
2019-09-15,50
2019-09-22,45
2019-09-29,68
2019-10-06,61
2019-10-13,53
2019-10-20,55
2019-10-27,59
2019-11-03,64
2019-11-10,59
2019-11-17,51
2019-11-24,65
2019-12-01,55
2019-12-08,56
2019-12-15,59
2019-12-22,50
2019-12-29,64
2020-01-05,64
2020-01-12,65
2020-01-19,44
2020-01-26,59
2020-02-02,59
2020-02-09,56
2020-02-16,58
2020-02-23,56
2020-03-01,52
2020-03-08,50
2020-03-15,59
2020-03-22,55
2020-03-29,68
2020-04-05,64
2020-04-12,63
2020-04-19,70
2020-04-26,77
2020-05-03,100
2020-05-10,87
2020-05-17,62
2020-05-24,98
2020-05-31,83
2020-06-07,78
2020-06-14,80
2020-06-21,86
2020-06-28,79
2020-07-05,68
2020-07-12,87
2020-07-19,71
2020-07-26,70
2020-08-02,77
2020-08-09,73
2020-08-16,75
2020-08-23,98
2020-08-30,81
2020-09-06,75
2020-09-13,64
2020-09-20,83
2020-09-27,68
2020-10-04,85
2020-10-11,85
2020-10-18,74
2020-10-25,75
2020-11-01,72
2020-11-08,62
2020-11-15,76
2020-11-22,78
2020-11-29,88
2020-12-06,80
2020-12-13,72
2020-12-20,44
2020-12-27,83
