Category: All categories

Week,Baking: (India)
2018-01-07,25
2018-01-14,23
2018-01-21,21
2018-01-28,24
2018-02-04,23
2018-02-11,25
2018-02-18,26
2018-02-25,22
2018-03-04,24
2018-03-11,28
2018-03-18,23
2018-03-25,24
2018-04-01,24
2018-04-08,22
2018-04-15,22
2018-04-22,20
2018-04-29,22
2018-05-06,21
2018-05-13,20
2018-05-20,24
2018-05-27,23
2018-06-03,21
2018-06-10,21
2018-06-17,23
2018-06-24,22
2018-07-01,25
2018-07-08,25
2018-07-15,24
2018-07-22,23
2018-07-29,24
2018-08-05,24
2018-08-12,22
2018-08-19,24
2018-08-26,24
2018-09-02,24
2018-09-09,23
2018-09-16,25
2018-09-23,25
2018-09-30,26
2018-10-07,23
2018-10-14,21
2018-10-21,22
2018-10-28,25
2018-11-04,24
2018-11-11,23
2018-11-18,25
2018-11-25,23
2018-12-02,24
2018-12-09,24
2018-12-16,29
2018-12-23,30
2018-12-30,25
2019-01-06,22
2019-01-13,23
2019-01-20,23
2019-01-27,21
2019-02-03,21
2019-02-10,22
2019-02-17,25
2019-02-24,22
2019-03-03,21
2019-03-10,27
2019-03-17,24
2019-03-24,19
2019-03-31,20
2019-04-07,18
2019-04-14,18
2019-04-21,17
2019-04-28,17
2019-05-05,20
2019-05-12,22
2019-05-19,22
2019-05-26,23
2019-06-02,23
2019-06-09,21
2019-06-16,21
2019-06-23,23
2019-06-30,19
2019-07-07,21
2019-07-14,26
2019-07-21,24
2019-07-28,24
2019-08-04,22
2019-08-11,23
2019-08-18,23
2019-08-25,25
2019-09-01,25
2019-09-08,26
2019-09-15,23
2019-09-22,25
2019-09-29,23
2019-10-06,20
2019-10-13,22
2019-10-20,22
2019-10-27,22
2019-11-03,25
2019-11-10,23
2019-11-17,28
2019-11-24,28
2019-12-01,23
2019-12-08,24
2019-12-15,25
2019-12-22,29
2019-12-29,27
2020-01-05,24
2020-01-12,24
2020-01-19,23
2020-01-26,21
2020-02-02,23
2020-02-09,25
2020-02-16,25
2020-02-23,25
2020-03-01,25
2020-03-08,23
2020-03-15,28
2020-03-22,45
2020-03-29,62
2020-04-05,86
2020-04-12,100
2020-04-19,92
2020-04-26,97
2020-05-03,90
2020-05-10,83
2020-05-17,74
2020-05-24,66
2020-05-31,60
2020-06-07,58
2020-06-14,52
2020-06-21,53
2020-06-28,53
2020-07-05,55
2020-07-12,52
2020-07-19,49
2020-07-26,52
2020-08-02,49
2020-08-09,48
2020-08-16,46
2020-08-23,46
2020-08-30,45
2020-09-06,45
2020-09-13,47
2020-09-20,43
2020-09-27,41
2020-10-04,39
2020-10-11,38
2020-10-18,35
2020-10-25,32
2020-11-01,33
2020-11-08,33
2020-11-15,33
2020-11-22,35
2020-11-29,33
2020-12-06,34
2020-12-13,36
2020-12-20,42
2020-12-27,37
