Category: All categories

Week,Baking: (United States)
2018-01-07,49
2018-01-14,51
2018-01-21,48
2018-01-28,46
2018-02-04,48
2018-02-11,47
2018-02-18,44
2018-02-25,42
2018-03-04,44
2018-03-11,44
2018-03-18,46
2018-03-25,50
2018-04-01,46
2018-04-08,42
2018-04-15,42
2018-04-22,41
2018-04-29,39
2018-05-06,38
2018-05-13,41
2018-05-20,39
2018-05-27,42
2018-06-03,38
2018-06-10,41
2018-06-17,40
2018-06-24,42
2018-07-01,45
2018-07-08,41
2018-07-15,42
2018-07-22,41
2018-07-29,41
2018-08-05,41
2018-08-12,41
2018-08-19,41
2018-08-26,40
2018-09-02,42
2018-09-09,39
2018-09-16,42
2018-09-23,41
2018-09-30,41
2018-10-07,43
2018-10-14,43
2018-10-21,46
2018-10-28,45
2018-11-04,45
2018-11-11,53
2018-11-18,83
2018-11-25,45
2018-12-02,49
2018-12-09,50
2018-12-16,60
2018-12-23,73
2018-12-30,53
2019-01-06,50
2019-01-13,49
2019-01-20,52
2019-01-27,49
2019-02-03,46
2019-02-10,48
2019-02-17,46
2019-02-24,42
2019-03-03,44
2019-03-10,43
2019-03-17,41
2019-03-24,41
2019-03-31,42
2019-04-07,41
2019-04-14,48
2019-04-21,43
2019-04-28,39
2019-05-05,39
2019-05-12,41
2019-05-19,38
2019-05-26,40
2019-06-02,37
2019-06-09,40
2019-06-16,41
2019-06-23,40
2019-06-30,43
2019-07-07,38
2019-07-14,40
2019-07-21,40
2019-07-28,38
2019-08-04,38
2019-08-11,40
2019-08-18,40
2019-08-25,38
2019-09-01,39
2019-09-08,38
2019-09-15,40
2019-09-22,39
2019-09-29,43
2019-10-06,42
2019-10-13,44
2019-10-20,44
2019-10-27,45
2019-11-03,45
2019-11-10,48
2019-11-17,53
2019-11-24,84
2019-12-01,45
2019-12-08,49
2019-12-15,55
2019-12-22,77
2019-12-29,53
2020-01-05,48
2020-01-12,48
2020-01-19,49
2020-01-26,44
2020-02-02,45
2020-02-09,48
2020-02-16,46
2020-02-23,42
2020-03-01,41
2020-03-08,42
2020-03-15,52
2020-03-22,66
2020-03-29,72
2020-04-05,79
2020-04-12,76
2020-04-19,69
2020-04-26,67
2020-05-03,64
2020-05-10,63
2020-05-17,61
2020-05-24,55
2020-05-31,52
2020-06-07,51
2020-06-14,51
2020-06-21,51
2020-06-28,53
2020-07-05,49
2020-07-12,48
2020-07-19,50
2020-07-26,48
2020-08-02,49
2020-08-09,47
2020-08-16,46
2020-08-23,46
2020-08-30,46
2020-09-06,48
2020-09-13,47
2020-09-20,47
2020-09-27,48
2020-10-04,49
2020-10-11,49
2020-10-18,52
2020-10-25,53
2020-11-01,43
2020-11-08,53
2020-11-15,60
2020-11-22,100
2020-11-29,53
2020-12-06,58
2020-12-13,65
2020-12-20,95
2020-12-27,56
