,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,64,57,80,69,74,63,56,89,74,63,62,52,75,68,77,49,90,60,84,95,58,46,43,85,81,73,69,83,66,54,82,58,69,68,68,82,37,66,46,87,74,83,53,83,78,56,80,83,66,77
1,2018-01-14,87,51,81,70,70,72,58,100,81,70,91,55,92,66,86,38,100,71,97,97,69,51,43,93,84,79,71,85,68,60,86,64,76,92,63,88,37,58,49,100,81,89,61,99,84,43,65,100,63,80
2,2018-01-21,65,55,85,67,77,62,62,95,59,55,86,68,84,63,77,38,90,77,100,96,68,54,41,86,83,63,70,84,65,58,79,69,66,83,73,95,37,62,51,71,79,82,76,100,81,45,46,87,74,87
3,2018-01-28,55,60,91,51,80,77,67,88,65,49,74,84,85,60,85,44,84,57,92,100,65,51,44,88,71,75,64,80,59,61,82,59,75,76,80,82,35,69,49,84,74,91,81,87,86,43,51,86,75,88
4,2018-02-04,59,67,94,64,80,100,70,90,66,59,74,93,90,61,73,48,88,51,87,99,53,50,46,84,69,82,66,80,72,59,100,54,72,70,92,67,31,65,44,70,72,88,100,93,90,47,74,82,69,80
5,2018-02-11,68,65,92,54,74,80,64,84,64,42,47,96,74,59,89,46,92,58,90,91,46,46,43,70,70,59,66,68,58,61,79,52,69,68,96,100,36,56,47,67,81,81,92,63,85,51,76,80,51,86
6,2018-02-18,74,71,90,55,80,70,90,87,58,55,60,95,74,66,85,54,100,39,85,92,59,49,43,81,71,62,72,80,63,59,83,48,66,74,82,92,32,61,52,83,77,80,86,68,100,49,80,82,56,94
7,2018-02-25,81,80,94,53,76,79,95,86,63,53,75,94,93,64,87,50,95,59,82,87,59,53,41,72,72,70,65,83,69,59,72,52,62,71,89,81,35,62,53,88,74,81,86,80,87,40,85,86,72,83
8,2018-03-04,72,78,94,64,76,68,98,85,68,76,50,82,80,58,85,48,85,69,94,93,59,61,44,77,68,66,65,85,62,64,85,51,71,66,93,97,52,60,49,88,76,79,82,90,92,42,82,85,79,88
9,2018-03-11,83,83,100,68,94,89,95,85,60,84,74,85,73,63,82,45,91,59,87,93,76,57,44,79,64,74,68,86,81,58,88,55,72,64,89,90,79,47,52,79,75,85,90,78,85,37,82,82,79,88
10,2018-03-18,93,85,93,60,76,70,92,88,63,93,53,76,71,61,87,46,88,71,90,89,59,63,43,83,49,78,70,80,74,56,79,44,70,78,82,86,90,41,50,84,73,83,91,92,84,35,78,82,83,86
