,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,17,61,44,30,52,25,65,85,59,47,0,72,14,45,14,40,74,34,88,35,0,46,71,48,0,26,47,63,7,60,72,13,40,24,35,0,68,25,27,58,19,56,27,64,31,11,48,79,55,28
1,2018-01-14,66,49,53,53,77,24,67,69,45,59,54,52,69,36,57,31,64,25,74,35,68,13,59,56,12,29,45,66,36,62,0,25,47,24,45,14,68,94,23,84,0,53,35,96,15,21,33,74,18,70
2,2018-01-21,49,45,54,29,52,23,66,84,29,76,56,21,50,46,43,53,58,8,86,33,34,33,70,56,0,25,52,64,72,65,36,25,36,36,46,0,73,63,18,58,38,67,27,32,15,33,41,71,29,28
3,2018-01-28,33,42,44,53,60,23,67,98,38,24,0,32,29,37,43,39,38,33,74,32,53,53,68,47,0,91,51,68,43,77,73,25,52,12,34,58,83,69,21,58,0,87,39,42,53,32,17,73,64,61
4,2018-02-04,33,44,43,30,53,0,60,71,21,42,0,49,36,38,44,40,45,50,78,37,34,34,51,76,6,51,41,81,37,71,49,40,49,0,22,58,37,43,22,52,39,74,38,11,31,22,33,79,20,47
5,2018-02-11,33,77,47,6,83,23,70,86,43,37,0,30,42,42,31,71,41,17,88,32,18,34,38,19,0,54,53,84,32,78,64,52,46,12,22,0,41,45,18,58,0,43,41,37,69,11,47,71,39,20
6,2018-02-18,33,68,27,35,49,0,60,54,51,57,0,51,34,44,0,16,46,43,84,35,31,13,61,19,0,81,48,68,51,58,36,39,33,64,54,14,100,44,25,51,19,58,37,56,54,11,58,75,26,60
7,2018-02-25,33,72,44,41,63,0,57,82,58,33,53,39,49,30,29,24,44,51,92,45,27,20,45,72,0,62,37,66,37,57,46,26,50,25,32,55,49,92,28,55,19,95,43,32,31,10,24,76,35,67
8,2018-03-04,17,65,48,42,63,23,73,63,50,65,51,35,57,42,43,31,41,17,76,42,13,0,31,38,13,68,45,68,67,54,70,38,49,49,64,14,66,31,27,55,0,56,71,85,39,0,8,74,75,59
9,2018-03-11,100,57,43,48,49,23,73,70,53,63,0,35,21,38,14,47,39,25,87,38,54,13,57,28,0,39,46,58,45,75,23,39,44,0,32,42,42,37,21,86,100,57,49,32,23,21,25,70,46,27
