,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,50,12,56,76,56,70,51,50,54,31,63,17,23,70,56,41,24,69,86,66,61,54,95,35,25,43,61,72,56,27,80,70,39,64,63,100,42,66,23,36,25,22,27,62,72,76,27,63,34,70
1,2018-01-14,67,21,56,37,68,55,36,51,81,32,51,77,70,85,75,70,24,48,100,66,64,65,89,69,68,61,49,78,42,52,70,38,38,40,48,62,35,63,33,51,52,31,28,81,49,68,16,63,33,62
2,2018-01-21,75,37,63,53,62,70,54,49,86,9,39,57,47,70,50,55,26,55,99,66,93,73,85,39,65,61,72,72,40,62,65,86,39,36,51,87,41,57,41,43,51,25,39,100,51,66,38,65,40,57
3,2018-01-28,71,39,63,56,61,69,59,49,65,27,40,54,38,78,43,69,34,27,94,69,60,65,87,61,32,22,43,77,52,65,82,43,50,44,45,88,71,64,35,29,34,18,40,85,48,79,36,66,37,83
4,2018-02-04,61,32,68,50,66,55,74,56,73,42,14,63,43,77,60,77,27,47,83,66,83,61,93,68,46,32,47,77,52,68,100,50,38,24,56,68,53,73,40,36,44,23,36,100,63,82,31,67,44,71
5,2018-02-11,66,58,66,38,48,53,47,49,66,32,43,57,37,83,57,74,42,28,82,71,56,49,88,66,40,72,52,71,47,44,61,68,52,36,54,86,18,62,39,7,52,27,73,69,61,69,35,66,18,56
6,2018-02-18,76,60,57,63,45,75,43,50,55,27,20,69,56,89,51,39,28,35,85,70,52,55,85,65,41,52,63,67,57,47,61,59,42,21,45,84,59,57,42,36,60,23,55,54,41,66,28,61,37,80
7,2018-02-25,53,50,62,45,70,43,58,47,66,21,13,66,52,87,40,57,32,42,82,67,55,49,74,53,89,66,63,64,26,62,73,34,42,36,40,83,23,63,49,61,45,30,23,62,64,61,29,62,30,56
8,2018-03-04,42,52,67,86,70,16,54,54,69,42,12,84,33,80,43,79,28,49,98,75,78,59,77,86,72,63,54,63,44,87,76,57,26,44,31,63,34,45,36,14,33,21,40,66,57,50,17,63,38,73
9,2018-03-11,63,63,72,49,63,42,76,57,58,24,45,52,56,73,49,44,31,48,94,72,68,47,95,67,16,32,58,90,93,100,84,54,50,45,58,70,50,46,33,61,50,25,53,73,43,62,33,62,28,73
10,2018-03-18,50,49,74,45,65,53,62,54,66,32,23,60,38,98,98,53,36,21,84,67,37,42,97,46,72,22,56,75,57,78,42,71,31,37,69,89,41,53,28,51,37,25,83,66,62,40,33,63,27,58
11,2018-03-25,58,45,84,68,72,67,52,57,81,12,22,39,64,70,82,39,81,64,84,72,58,39,92,66,33,34,54,53,57,28,50,75,48,59,63,78,40,37,20,29,41,22,49,61,36,53,49,62,28,78
12,2018-04-01,62,60,65,62,41,53,48,46,75,54,13,66,56,74,81,59,30,14,77,61,45,34,88,54,31,57,57,87,68,25,76,20,36,32,57,73,56,47,25,49,54,18,40,67,56,29,37,58,32,65
13,2018-04-08,47,48,67,36,46,52,58,52,54,63,50,88,34,77,66,43,22,34,75,63,61,37,87,42,34,73,38,73,62,89,51,59,43,78,42,84,40,59,23,47,54,31,100,75,46,60,32,60,33,50
14,2018-04-15,73,70,72,60,40,52,60,48,87,67,50,67,30,76,52,40,33,21,70,55,28,36,90,43,28,33,60,89,46,68,75,55,30,32,70,87,55,48,30,27,70,29,61,68,43,49,20,59,30,80
15,2018-04-22,60,71,66,32,56,62,55,48,57,90,19,91,68,83,49,31,24,47,68,56,47,31,84,43,49,50,45,80,60,49,85,31,42,44,51,70,64,45,28,64,43,26,37,74,45,50,28,58,37,74
16,2018-04-29,54,85,67,20,44,54,53,56,58,70,48,64,45,64,65,40,28,90,63,57,34,29,84,34,29,31,55,80,59,57,54,81,52,37,58,71,58,44,36,35,38,20,37,86,12,45,17,63,24,70
17,2018-05-06,54,52,71,50,51,35,55,59,63,48,30,42,39,69,85,40,23,43,59,60,75,31,90,32,46,70,45,81,43,40,49,91,55,38,80,79,36,41,24,64,71,18,20,93,51,34,32,72,21,100
18,2018-05-13,61,57,68,58,50,44,47,46,78,48,49,70,51,66,48,62,26,56,73,51,39,28,78,46,100,64,62,74,57,46,74,52,22,40,69,86,41,49,27,42,49,22,30,84,32,63,24,57,23,74
19,2018-05-20,75,39,66,24,100,70,61,41,65,37,49,73,20,80,35,48,32,36,72,54,40,39,84,45,53,54,45,100,75,47,78,85,46,26,75,71,60,43,34,21,54,20,25,87,53,86,36,56,27,86
20,2018-05-27,39,37,62,61,61,58,51,45,53,30,0,67,39,68,68,58,29,37,75,58,68,22,86,35,46,21,39,69,47,54,73,79,25,34,75,66,69,39,20,71,42,13,36,53,33,64,27,59,29,76
21,2018-06-03,67,45,77,47,63,23,52,48,39,55,30,69,79,75,76,38,29,43,74,57,57,14,76,35,24,75,50,87,67,54,64,67,39,33,65,65,100,55,42,60,29,21,28,67,48,69,20,61,43,74
22,2018-06-10,52,36,67,67,57,49,54,56,64,55,29,54,19,77,51,38,25,42,70,59,47,8,85,53,37,20,53,60,49,47,62,51,32,47,67,63,48,64,27,27,24,22,19,65,58,70,19,67,36,80
23,2018-06-17,22,44,81,46,51,31,52,42,47,97,32,54,49,62,76,19,22,43,62,56,44,8,79,39,38,72,47,79,53,37,32,52,23,37,70,40,89,51,29,13,46,14,22,92,60,55,27,62,26,81
24,2018-06-24,51,37,66,53,53,42,47,46,61,70,10,51,39,72,60,32,22,70,59,53,48,10,84,47,45,10,47,71,59,34,58,31,41,17,41,62,69,54,28,21,44,11,19,71,69,41,25,56,30,62
25,2018-07-01,54,33,66,67,61,15,40,40,58,69,39,69,50,73,48,49,18,35,60,53,25,10,82,56,30,61,35,63,50,21,53,30,33,18,46,64,58,62,21,62,45,22,17,56,45,61,18,57,29,46
26,2018-07-08,23,35,63,39,56,35,59,41,40,20,29,64,45,64,49,31,19,36,59,56,51,15,88,38,31,30,44,77,44,20,54,49,32,42,74,74,87,58,25,41,34,11,27,76,31,71,20,59,29,57
27,2018-07-15,33,37,68,41,46,50,42,43,80,38,20,62,36,67,44,32,24,36,56,60,73,31,85,36,55,64,41,78,34,20,69,55,28,34,81,63,41,75,41,43,50,24,10,75,42,58,16,59,49,59
28,2018-07-22,33,49,76,36,42,60,64,42,30,73,21,79,51,66,39,32,27,72,53,53,69,73,83,38,69,21,42,62,50,22,82,55,34,10,60,71,33,68,33,35,39,21,27,67,45,51,24,58,34,69
