,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,84,37,68,54,74,89,53,96,57,76,84,59,67,65,58,58,65,100,71,96,100,52,90,79,61,80,58,81,63,63,72,69,91,93,49,65,41,83,76,61,64,50,63,64,70,69,70,90,43,46
1,2018-01-14,97,52,69,43,73,62,57,89,68,37,78,40,82,75,71,54,83,60,81,93,89,43,90,82,66,74,61,80,55,71,63,74,69,82,59,82,45,72,86,42,61,46,69,73,59,66,52,90,42,51
2,2018-01-21,95,45,77,64,69,64,52,91,51,71,75,62,85,64,62,74,76,61,75,92,82,42,83,71,43,67,60,80,63,54,59,77,72,73,63,70,46,79,80,30,53,55,63,71,84,91,49,97,31,54
3,2018-01-28,100,38,85,46,70,72,60,89,55,12,51,71,76,73,88,54,84,54,86,95,98,40,89,86,57,48,57,71,68,75,60,85,91,75,66,89,49,83,52,72,70,56,69,81,80,70,46,98,46,52
4,2018-02-04,82,53,90,83,72,86,57,88,68,50,56,76,56,62,77,69,75,83,75,91,90,43,89,73,47,72,59,77,53,74,58,82,78,85,69,90,46,86,74,42,63,44,89,65,80,64,62,96,37,67
5,2018-02-11,86,30,91,54,67,68,56,87,67,45,17,91,68,67,41,75,65,71,75,77,88,43,85,87,49,60,61,65,46,85,60,82,80,68,74,77,52,72,66,46,83,53,58,60,78,58,66,98,26,75
6,2018-02-18,83,55,88,57,86,73,71,78,53,55,69,74,71,54,69,67,84,65,63,90,76,53,91,92,48,52,74,71,51,81,70,86,66,73,74,82,51,83,75,44,64,58,72,70,59,65,72,95,36,78
7,2018-02-25,81,66,88,46,50,96,68,84,47,61,72,81,68,64,60,50,81,62,74,81,86,56,85,67,63,62,75,72,59,79,72,83,92,76,96,78,53,92,93,37,45,55,85,85,84,72,55,95,35,85
8,2018-03-04,81,61,89,100,94,87,66,84,57,67,84,97,62,57,62,67,78,65,69,92,89,59,89,93,60,86,63,72,68,72,87,79,89,81,93,83,57,94,80,50,79,48,75,67,79,73,65,98,46,89
9,2018-03-11,59,54,92,59,72,92,71,85,82,53,85,66,54,67,58,76,82,67,75,89,83,61,93,83,45,67,55,64,79,74,75,73,94,50,86,76,63,83,93,39,62,58,65,74,70,55,59,88,41,100
10,2018-03-18,89,77,90,59,71,86,60,83,66,78,61,69,76,65,73,69,72,61,79,85,76,60,90,61,26,48,60,61,72,56,78,77,63,83,80,73,54,85,97,44,80,47,70,78,91,69,63,91,42,77
11,2018-03-25,59,44,86,65,47,68,70,70,59,73,57,58,50,61,51,52,53,68,92,76,85,57,85,76,43,62,52,71,64,43,71,74,85,36,79,99,52,65,79,34,76,53,80,80,63,63,65,84,39,78
12,2018-04-01,60,52,80,35,82,99,65,75,43,66,55,71,62,54,73,57,79,63,69,65,74,65,90,70,40,67,71,74,76,55,85,66,62,54,64,78,45,53,65,38,70,48,63,71,55,51,63,88,43,77
13,2018-04-08,64,61,91,65,85,69,67,84,58,74,91,90,53,68,59,62,78,92,76,71,77,64,88,85,46,64,57,77,74,77,77,88,72,92,77,71,51,46,71,54,55,63,90,82,64,55,45,92,43,97
14,2018-04-15,80,53,87,34,64,82,64,78,49,66,83,65,87,64,62,93,84,57,68,82,84,62,87,84,50,75,63,91,65,68,74,74,84,62,56,70,62,56,73,62,52,57,65,85,69,55,43,92,47,86
15,2018-04-22,89,76,85,31,71,72,77,83,58,63,61,74,28,63,52,53,68,64,68,91,84,59,84,85,45,75,62,85,53,71,68,70,76,76,56,85,63,54,59,43,64,44,59,84,88,70,57,94,35,76
16,2018-04-29,78,59,96,61,82,82,58,67,52,29,58,70,51,59,65,52,68,57,66,90,82,59,81,78,44,63,47,58,62,59,62,71,61,52,74,76,61,56,40,36,74,40,81,71,65,64,44,93,40,76
17,2018-05-06,80,43,96,38,48,70,71,75,45,53,70,54,53,59,44,43,66,62,56,80,72,52,78,80,46,69,58,100,52,53,48,63,72,43,88,89,52,55,67,39,56,60,67,71,63,60,54,90,41,78
18,2018-05-13,74,66,100,48,80,66,60,67,59,74,58,57,47,64,68,43,84,71,70,85,85,49,81,74,46,91,56,81,62,60,76,74,74,60,85,77,73,48,77,32,69,56,56,82,76,55,59,84,43,65
19,2018-05-20,84,50,92,32,53,89,68,72,44,56,74,76,53,62,44,41,68,100,63,80,58,51,84,63,50,52,58,85,55,67,68,85,69,51,73,86,55,55,87,47,58,62,55,94,70,69,65,82,45,70
20,2018-05-27,84,49,98,42,73,80,66,72,61,82,58,68,56,51,60,66,62,53,72,61,66,48,89,60,43,91,51,84,68,63,60,69,67,64,91,72,55,51,78,37,73,61,31,87,64,59,43,77,41,62
21,2018-06-03,84,73,95,72,78,70,58,76,48,76,94,44,54,66,47,68,73,71,74,81,53,48,87,43,39,84,60,81,65,64,58,74,84,78,78,66,39,74,89,43,66,41,52,66,57,68,53,79,39,58
22,2018-06-10,62,53,91,19,73,37,61,70,61,45,64,45,65,67,65,44,68,73,76,81,74,17,84,65,38,80,52,90,63,58,49,75,82,69,67,55,68,60,75,53,71,44,36,58,75,61,34,78,36,57
23,2018-06-17,68,60,83,27,61,48,72,69,55,60,74,56,25,64,31,57,68,86,58,77,70,17,84,51,46,62,65,72,58,58,44,75,89,64,66,60,66,80,87,39,70,58,57,62,54,52,43,73,29,53
24,2018-06-24,71,50,83,30,44,50,64,68,41,69,55,40,64,60,67,58,58,37,52,70,58,30,85,72,53,77,56,68,60,52,54,77,61,45,63,67,59,89,62,46,81,56,44,74,56,52,38,70,29,42
25,2018-07-01,51,55,73,41,54,70,59,61,46,34,69,41,57,58,40,67,68,50,57,70,52,35,83,83,39,74,59,79,69,49,58,80,81,43,77,61,51,90,53,46,66,51,47,69,56,67,46,66,33,39
26,2018-07-08,40,76,67,20,50,68,63,66,34,52,79,48,47,63,34,65,53,49,60,66,65,47,90,56,61,61,57,90,61,53,56,79,69,41,61,66,67,82,69,57,59,57,61,77,98,71,45,72,36,46
27,2018-07-15,48,61,82,29,46,78,73,66,60,26,64,74,63,63,21,61,64,55,57,65,72,48,91,55,51,75,46,85,64,47,68,87,69,83,65,60,49,78,71,33,55,56,44,74,69,66,41,75,40,56
28,2018-07-22,55,45,87,39,48,84,64,69,46,57,55,57,55,75,54,47,52,55,63,59,64,52,90,63,46,66,58,83,65,52,79,74,43,40,76,52,45,81,73,39,56,51,58,71,70,60,55,76,42,65
29,2018-07-29,44,69,91,38,57,67,74,66,45,44,86,50,86,61,53,70,62,47,59,59,65,41,89,51,54,76,58,71,80,60,78,77,71,35,86,83,35,98,63,29,58,47,72,74,75,59,41,75,41,64
30,2018-08-05,33,50,87,39,63,67,68,55,42,61,91,70,62,51,70,59,46,57,59,58,62,42,86,64,59,66,40,76,61,79,69,78,66,71,100,71,55,78,50,17,73,72,57,76,51,79,39,79,54,59
