,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,86,97,84,91,86,72,96,90,74,100,90,88,74,91,80,89,74,76,44,90,88,52,70,88,54,89,84,82,90,100,93,80,100,82,80,95,97,58,84,87,79,89,79,24,92,92,89,92,69,62
1,2018-01-14,82,100,85,79,85,91,99,91,71,93,81,86,80,80,99,92,78,71,42,85,91,51,68,88,54,88,87,90,86,94,91,68,70,81,86,91,98,59,83,90,76,83,76,21,82,86,87,89,66,61
2,2018-01-21,75,97,86,89,89,86,95,93,70,89,72,87,73,79,75,87,81,74,43,91,78,53,70,85,55,83,87,82,86,98,94,63,66,92,77,99,98,61,89,86,76,89,74,22,94,91,86,91,63,63
3,2018-01-28,92,94,83,100,84,78,99,93,76,89,92,85,74,80,78,88,80,77,44,84,93,53,68,91,55,83,84,88,76,92,91,69,66,86,87,90,100,58,85,84,84,90,73,21,92,94,90,92,68,70
4,2018-02-04,93,92,92,80,85,80,93,87,84,90,79,88,79,80,80,88,78,83,51,87,85,51,66,86,57,97,85,86,83,96,96,81,65,82,89,97,99,60,91,82,82,89,80,21,90,99,94,85,74,73
5,2018-02-11,82,99,89,80,81,100,100,91,75,88,69,86,73,77,81,90,81,73,45,82,88,51,70,84,56,88,84,90,86,92,86,78,65,81,77,97,94,58,87,90,75,89,88,21,82,81,100,89,100,69
6,2018-02-18,88,95,95,79,84,78,90,85,78,90,88,85,71,79,90,90,80,71,42,82,86,54,67,85,50,82,83,90,76,93,85,73,61,74,81,100,94,56,87,84,74,87,77,22,78,87,91,88,70,69
7,2018-02-25,83,91,97,84,83,95,92,89,78,80,75,82,83,75,70,99,76,78,42,75,91,55,68,79,56,93,75,86,83,91,87,76,58,84,74,94,93,56,83,90,73,86,85,21,89,84,91,90,61,69
8,2018-03-04,96,93,94,84,86,79,88,88,71,87,94,79,81,77,81,100,77,70,44,80,90,57,66,87,61,94,77,90,83,91,85,72,63,82,78,88,92,57,90,90,74,95,76,20,83,83,95,90,63,71
9,2018-03-11,74,91,94,78,78,70,91,95,79,88,59,78,87,77,86,99,79,76,45,82,87,54,68,87,67,98,81,88,86,95,87,70,64,78,76,85,89,59,90,83,72,82,78,23,89,82,87,90,60,68
10,2018-03-18,85,91,94,78,83,72,94,90,77,90,77,81,75,76,88,90,77,82,43,83,82,55,69,88,78,76,82,90,94,97,88,80,61,79,81,83,89,59,90,93,74,87,81,20,86,79,93,85,65,71
11,2018-03-25,90,96,90,87,81,84,95,89,74,91,80,90,84,78,83,93,73,70,42,81,82,51,69,88,71,87,77,89,91,94,90,87,63,89,85,86,96,57,88,86,74,86,68,20,88,72,94,89,63,72
12,2018-04-01,85,88,85,85,80,79,86,84,75,82,87,77,80,73,81,83,72,86,42,78,84,48,67,78,56,80,77,90,82,87,84,69,61,68,82,79,86,52,89,82,85,84,72,21,79,70,88,86,61,65
13,2018-04-08,89,93,89,83,74,72,87,89,68,89,70,81,75,71,76,84,74,79,42,80,89,48,64,85,57,80,83,88,99,87,85,70,62,87,86,74,94,55,86,81,84,88,77,19,81,67,90,90,58,66
14,2018-04-15,83,92,85,80,80,74,91,88,73,89,93,82,79,73,80,83,78,79,41,80,82,49,65,100,58,90,83,90,85,92,86,76,57,84,78,91,90,54,91,86,73,87,83,21,80,70,90,90,61,66
15,2018-04-22,81,93,89,76,83,64,93,85,74,95,100,82,77,72,86,80,75,73,41,82,85,47,69,86,58,88,78,89,85,87,92,75,59,87,76,89,85,53,90,87,74,88,80,20,88,67,92,93,61,70
16,2018-04-29,86,85,91,77,79,69,97,87,80,81,84,78,78,83,76,81,76,80,42,85,79,47,67,89,59,76,80,97,88,89,86,81,66,81,83,73,90,52,93,80,82,94,81,21,88,60,89,90,62,68
17,2018-05-06,83,84,89,75,76,73,92,86,77,85,84,80,84,95,75,84,72,67,45,88,87,49,66,97,58,75,81,90,86,89,82,78,79,70,100,83,92,58,80,88,76,86,74,20,79,63,86,92,58,73
18,2018-05-13,78,87,88,72,76,76,95,85,69,81,79,79,82,83,83,84,77,73,43,84,88,46,63,75,58,84,82,88,90,92,84,77,78,86,86,75,87,56,88,91,75,85,67,22,87,81,80,90,59,67
19,2018-05-20,81,89,88,79,80,67,88,91,69,91,85,79,82,91,90,77,76,73,43,86,81,61,70,86,58,88,81,86,94,89,87,79,74,80,91,83,87,54,86,85,77,95,59,23,85,99,81,97,59,67
20,2018-05-27,81,83,89,74,75,70,96,88,74,76,80,76,83,88,85,69,80,70,44,82,85,50,71,96,61,77,83,91,96,90,84,82,79,89,90,84,83,55,95,87,81,89,58,18,83,89,82,91,58,70
21,2018-06-03,77,81,96,71,77,82,92,85,73,81,92,83,84,78,87,60,82,69,46,82,68,45,67,85,54,87,86,88,95,94,77,85,78,85,82,74,83,68,87,85,78,87,53,19,81,90,82,88,58,71
22,2018-06-10,87,82,85,74,79,75,93,87,76,83,76,76,83,82,88,69,74,70,49,81,82,46,72,87,60,80,81,86,90,86,81,81,79,73,82,70,87,66,83,87,74,94,77,21,75,76,90,85,52,71
23,2018-06-17,92,78,90,76,84,67,87,88,87,84,74,74,75,78,82,79,79,81,89,81,70,34,74,88,57,81,83,88,87,83,71,70,74,71,91,75,80,65,85,78,71,85,100,18,76,74,79,85,45,74
24,2018-06-24,78,76,87,82,79,48,89,85,72,82,61,70,84,80,79,69,70,70,45,79,75,35,71,80,63,92,83,90,89,80,78,72,75,71,82,75,81,63,85,79,71,88,82,20,72,72,78,83,47,82
25,2018-07-01,83,80,82,77,75,55,88,81,71,77,84,78,86,79,89,76,74,82,41,76,76,38,73,80,62,70,78,88,84,78,80,75,74,70,87,79,80,61,78,76,71,83,84,19,79,72,81,83,47,80
26,2018-07-08,81,86,81,80,74,58,90,85,70,80,83,81,83,79,86,79,72,78,43,77,65,39,72,86,67,88,80,84,80,83,80,74,73,65,78,70,84,68,85,78,72,90,83,19,78,77,87,83,52,69
27,2018-07-15,75,86,82,87,69,60,92,85,71,79,76,87,81,82,85,82,75,64,45,82,75,49,79,83,66,83,81,83,91,91,84,77,74,81,74,80,91,63,86,85,77,91,79,21,86,79,86,83,54,64
28,2018-07-22,81,88,92,85,79,62,93,82,70,84,83,82,78,80,92,88,76,71,44,77,67,55,83,83,67,80,78,81,77,87,81,74,68,76,87,78,97,61,85,84,75,93,86,21,83,76,90,83,56,69
29,2018-07-29,74,87,83,83,78,65,91,86,68,81,80,81,77,76,84,83,75,69,44,74,79,48,84,84,64,85,80,78,94,86,82,75,70,70,88,90,89,60,87,78,78,93,81,20,86,80,86,84,53,65
30,2018-08-05,82,83,92,72,77,54,92,85,69,87,49,87,88,79,99,86,72,70,45,74,72,46,86,84,67,85,80,82,86,86,88,76,63,82,90,74,91,63,81,75,80,93,84,20,78,85,76,83,53,73
31,2018-08-12,84,87,91,87,83,74,92,81,72,92,58,84,96,80,84,85,76,73,48,77,68,44,89,84,70,82,81,81,85,84,82,71,65,79,78,82,86,65,88,80,80,96,63,18,82,76,80,84,53,65
32,2018-08-19,84,89,86,72,84,77,91,84,84,86,73,84,83,79,85,85,71,81,48,77,80,42,84,82,69,96,78,89,85,88,78,78,67,80,87,84,87,64,85,74,75,92,86,22,94,86,93,86,51,66
33,2018-08-26,77,81,94,72,83,61,89,83,72,84,77,81,87,81,78,81,75,85,43,77,87,47,86,76,72,90,76,89,87,85,85,76,69,99,85,87,89,62,94,81,76,91,81,18,81,85,79,90,51,65
34,2018-09-02,77,80,91,78,81,63,89,78,62,89,72,82,84,81,93,84,75,69,44,81,79,49,87,84,69,84,80,84,81,89,83,85,67,77,90,80,90,63,94,80,78,87,77,20,80,93,85,86,56,71
35,2018-09-09,100,84,89,75,88,52,86,87,75,92,73,84,77,80,85,91,79,69,48,81,84,50,88,94,52,87,82,85,89,91,94,78,63,86,80,70,86,57,99,82,74,90,70,22,84,97,81,84,54,70
