,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2020-03-15,70,85,72,86,75,63,83,77,82,82,82,82,76,67,78,87,84,74,75,70,64,52,91,75,100,69,88,94,90,91,82,89,76,96,70,79,81,53,83,78,79,84,74,100,92,75,70,81,82,84
1,2020-03-22,88,99,79,91,97,76,100,87,98,95,67,94,83,87,81,90,94,88,93,82,71,53,98,69,93,87,94,98,87,100,85,87,100,100,81,87,86,52,89,100,80,83,79,65,92,63,78,94,83,86
2,2020-03-29,99,100,91,96,100,92,98,93,97,94,91,92,94,87,81,93,98,100,95,91,89,59,100,78,93,82,100,89,83,97,81,93,99,91,99,91,78,52,94,98,86,85,75,74,100,70,77,98,97,99
3,2020-04-05,92,90,89,94,90,84,97,95,90,98,70,95,91,88,72,81,100,89,94,92,83,57,97,78,85,99,90,87,90,98,87,97,87,98,98,91,80,55,94,92,87,90,73,78,82,66,81,100,100,97
4,2020-04-12,96,89,86,90,96,84,91,100,93,100,77,90,84,79,74,85,94,89,96,98,85,56,98,94,82,98,89,87,94,94,100,100,97,95,99,91,75,56,96,92,95,91,75,82,100,63,100,98,98,95
5,2020-04-19,92,99,100,91,90,94,93,96,91,91,84,89,80,80,65,93,91,92,91,99,88,46,95,100,82,88,90,95,91,96,99,97,90,89,100,100,88,56,98,94,100,96,72,81,87,69,98,98,91,88
6,2020-04-26,88,96,90,90,88,100,93,90,100,92,97,93,94,85,77,91,88,84,83,98,100,41,95,88,83,87,87,99,91,98,92,92,88,94,90,81,79,53,100,89,90,97,56,82,96,61,78,99,99,88
7,2020-05-03,89,92,94,88,85,88,88,97,81,97,81,90,81,81,72,74,81,84,83,100,81,44,92,98,84,83,84,100,90,95,87,93,87,91,99,85,81,50,96,85,87,93,60,77,96,62,76,97,91,91
8,2020-05-10,97,93,88,83,89,89,91,88,88,94,73,92,77,79,71,86,82,90,80,90,85,49,92,79,75,80,84,98,90,98,81,89,81,89,88,85,81,49,100,78,86,87,59,79,86,70,76,93,88,92
9,2020-05-17,84,94,89,79,82,66,88,89,86,96,68,85,90,82,72,96,76,77,82,93,74,38,90,83,86,76,85,99,96,92,95,90,84,99,83,88,77,48,94,81,82,89,71,82,95,93,73,95,80,92
10,2020-05-24,99,90,90,80,79,91,89,81,75,90,74,88,85,81,76,99,75,85,73,86,78,33,87,89,92,74,78,96,100,91,83,86,83,91,86,81,79,50,94,78,86,91,100,86,89,100,77,84,83,89
11,2020-05-31,92,81,81,86,80,74,89,82,83,85,83,86,86,83,70,100,70,72,76,85,67,68,86,69,92,79,75,89,97,85,89,79,80,97,77,87,74,49,94,73,86,86,83,80,81,82,74,79,80,90
12,2020-06-07,100,85,82,80,75,61,98,83,86,88,68,89,91,81,83,89,71,71,79,82,85,82,85,74,92,87,73,85,91,91,90,80,88,83,92,94,78,50,86,76,86,90,75,70,80,73,71,83,80,85
13,2020-06-14,94,82,82,83,78,68,89,82,78,91,81,87,89,81,79,97,65,67,94,81,88,40,85,70,99,79,68,88,88,91,86,80,84,79,79,84,78,49,85,71,75,87,71,74,83,78,69,79,80,84
14,2020-06-21,98,86,82,84,79,77,89,83,76,86,96,93,79,87,67,89,63,64,100,80,70,30,91,65,94,86,67,89,93,86,93,73,81,83,83,94,82,47,85,72,82,87,76,81,79,72,73,82,79,90
15,2020-06-28,90,80,77,81,78,79,84,82,82,89,66,85,82,88,80,97,61,67,75,80,79,28,84,70,90,81,66,83,92,85,96,76,83,85,82,93,100,50,84,65,80,87,75,72,76,88,73,81,78,89
16,2020-07-05,87,87,71,76,79,85,83,84,83,89,60,87,100,86,79,90,63,74,74,81,74,28,88,69,89,88,76,82,85,86,92,75,85,89,71,89,88,48,83,72,88,88,72,72,83,88,70,82,82,91
17,2020-07-12,72,82,71,71,78,82,86,74,87,88,75,91,86,88,74,85,59,73,77,77,79,40,86,64,91,85,68,86,89,88,89,77,78,80,76,89,83,54,80,68,85,90,78,64,81,91,70,82,79,85
18,2020-07-19,83,88,77,79,76,76,88,79,71,84,68,90,79,88,75,97,59,68,72,73,77,58,83,60,95,87,68,88,89,88,92,78,79,83,90,81,94,54,81,72,79,92,70,74,77,95,70,82,82,86
19,2020-07-26,81,80,77,84,78,75,84,78,75,82,76,91,82,87,97,90,59,84,72,72,74,46,86,62,91,87,65,82,90,85,81,77,86,80,88,83,85,50,80,68,92,83,79,70,78,85,76,82,76,87
20,2020-08-02,87,81,81,86,67,78,85,79,77,78,100,87,84,81,100,88,58,62,75,73,77,44,81,59,97,73,65,85,90,82,83,84,73,88,87,85,86,53,77,65,84,87,80,70,89,92,74,88,77,93
21,2020-08-09,86,85,86,80,69,63,83,81,75,82,74,85,80,80,93,77,58,73,73,73,77,43,82,69,93,90,70,87,90,85,83,80,77,80,77,89,82,56,82,64,86,88,79,70,82,88,70,92,76,88
22,2020-08-16,85,85,84,86,67,79,81,81,79,81,88,82,87,75,85,79,60,68,76,72,80,39,78,63,83,75,66,87,81,86,79,76,73,75,94,86,80,55,79,64,84,89,68,69,86,89,71,92,80,87
23,2020-08-23,79,79,83,79,71,74,83,78,79,75,71,83,84,76,72,81,59,84,75,69,71,42,74,60,68,76,61,86,77,87,81,72,76,82,84,77,83,61,80,72,79,84,65,73,88,88,71,90,78,83
24,2020-08-30,83,82,85,81,73,73,79,84,78,82,98,81,82,79,73,82,58,69,73,75,84,45,73,63,75,83,67,82,84,88,88,76,82,91,77,79,80,61,89,66,78,83,54,70,88,94,67,95,80,85
25,2020-09-06,89,83,82,76,77,64,82,84,74,84,80,81,80,80,82,89,61,66,78,77,89,46,72,70,86,77,67,88,87,84,84,74,77,90,88,75,78,59,82,65,88,81,55,62,84,89,76,94,80,87
26,2020-09-13,87,86,82,72,74,74,81,89,75,90,56,81,85,84,74,79,67,76,76,75,89,51,70,65,90,73,66,86,84,89,91,76,84,98,80,78,79,58,87,65,82,86,63,65,87,87,71,98,79,87
27,2020-09-20,76,79,73,84,78,63,82,89,84,78,62,77,78,82,81,76,66,80,74,75,75,59,66,81,87,76,64,89,89,84,78,68,81,85,89,81,81,59,92,69,82,82,71,73,89,91,72,97,81,83
28,2020-09-27,81,78,66,89,75,74,79,83,77,75,72,79,86,82,71,80,66,71,74,73,70,54,64,67,95,79,65,93,85,84,81,71,79,90,72,81,76,64,87,67,80,82,62,72,88,87,71,89,82,84
29,2020-10-04,79,73,72,84,66,62,82,88,77,81,69,82,87,81,75,83,66,78,73,75,73,55,64,62,90,100,68,83,88,82,77,79,84,85,74,81,79,100,83,67,80,82,63,65,85,92,70,87,78,81
30,2020-10-11,87,78,78,80,77,63,84,82,85,81,82,85,81,83,67,86,63,73,73,72,88,54,67,69,92,78,66,84,93,85,83,75,83,85,69,85,73,96,85,68,81,80,59,69,86,80,73,84,77,91
31,2020-10-18,77,75,75,74,74,68,81,85,77,80,68,83,83,83,71,71,65,78,78,73,78,48,67,74,96,73,68,81,86,89,79,68,85,85,73,95,76,87,87,64,81,79,64,75,88,81,72,88,79,91
32,2020-10-25,73,79,70,87,80,64,79,90,81,80,100,82,82,84,71,89,62,69,72,69,88,40,63,70,96,76,66,79,96,85,78,78,87,85,73,77,83,76,85,65,81,83,61,57,80,92,70,88,75,89
33,2020-11-01,78,79,66,75,74,57,76,81,75,73,57,80,80,75,63,87,60,82,72,67,63,45,63,66,91,65,64,84,87,77,77,71,79,74,75,77,75,71,85,63,76,79,60,52,74,83,61,69,75,85
34,2020-11-08,87,76,73,87,82,65,79,88,85,82,80,81,89,85,76,83,65,81,80,76,86,47,68,76,94,74,71,80,91,82,79,74,90,87,74,80,76,70,89,72,76,76,63,64,90,76,60,85,82,85
35,2020-11-15,83,80,71,99,78,70,72,89,91,83,57,83,89,89,76,86,67,84,77,81,76,45,68,79,97,77,75,82,92,82,82,79,82,86,80,88,76,67,89,69,79,77,63,65,87,74,66,90,86,85
36,2020-11-22,73,84,71,83,80,68,78,94,75,81,100,84,92,86,79,78,66,75,83,78,71,53,70,78,93,71,73,95,97,88,99,75,90,89,82,86,82,69,91,72,78,79,58,74,87,81,69,89,83,90
37,2020-11-29,84,75,75,95,84,62,78,98,84,87,76,80,91,88,77,76,65,80,82,79,86,100,69,84,90,78,71,90,92,77,95,77,93,90,82,79,78,71,89,77,79,80,60,62,88,82,75,93,81,89
38,2020-12-06,82,74,74,92,80,61,80,97,85,74,79,87,79,88,65,89,67,93,81,77,76,72,72,85,92,74,74,89,80,76,82,80,91,85,77,84,74,71,86,78,70,79,64,65,93,85,70,91,79,100
39,2020-12-13,76,72,72,84,89,68,80,98,85,73,44,82,83,82,68,79,64,74,81,76,81,34,68,85,96,87,69,81,90,78,78,78,82,84,70,75,73,59,92,77,76,82,59,66,89,92,72,92,84,94
40,2020-12-20,86,80,72,100,95,90,93,96,90,80,90,100,94,100,70,92,67,90,94,77,72,25,70,91,95,64,79,85,89,82,79,83,94,78,82,85,85,51,94,86,91,83,59,68,84,82,72,93,81,98
41,2020-12-27,77,80,69,90,83,69,92,87,87,80,86,93,87,94,89,83,62,90,95,74,63,24,70,79,90,82,76,84,75,80,73,78,86,76,86,87,83,51,96,74,96,100,64,54,94,69,71,83,79,87
42,2021-01-03,79,62,65,80,70,68,73,80,77,70,65,71,80,76,65,79,51,61,71,72,75,28,70,67,93,66,65,75,78,70,71,70,81,72,71,80,74,66,78,59,72,80,71,63,85,78,68,78,76,73
43,2021-01-10,76,66,67,85,73,70,73,84,75,79,76,67,76,77,69,92,57,61,74,77,64,35,70,75,89,66,66,83,82,70,65,75,76,89,74,81,71,77,77,63,75,72,63,60,89,86,72,80,77,78
44,2021-01-17,74,71,72,87,76,64,72,84,80,71,99,72,79,80,68,80,61,76,76,76,76,37,64,82,90,73,68,84,79,74,68,68,81,80,71,82,72,70,83,67,77,75,62,62,100,89,67,80,79,77
45,2021-01-24,84,66,69,88,73,61,73,85,75,64,75,71,82,82,61,85,62,72,78,79,73,37,64,91,97,69,71,89,76,74,88,66,78,79,73,84,73,70,87,69,77,78,56,58,86,86,63,84,78,83
46,2021-01-31,78,69,75,83,73,56,71,83,85,71,75,77,91,83,67,73,64,82,76,78,89,40,66,80,97,79,65,87,74,77,72,67,80,78,73,85,74,66,86,67,73,76,54,59,91,80,59,85,76,81
