,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,0,0,86,96,54,0,61,45,94,67,0,20,0,72,32,0,44,21,54,94,63,41,32,0,25,0,0,7,14,75,41,39,14,40,54,36,33,25,0,35,0,0,0,63,45,84,16,78,0,69
1,2018-01-14,49,11,43,0,49,0,77,44,20,0,0,18,0,59,64,0,90,0,54,70,60,45,26,26,41,29,78,35,42,59,21,18,14,0,0,36,8,16,0,0,0,20,0,0,67,13,64,67,14,23
2,2018-01-21,0,21,34,48,66,0,99,47,65,0,0,26,0,59,0,0,58,42,54,72,30,46,32,0,19,29,39,35,14,67,62,37,55,0,0,0,17,24,0,35,32,20,0,42,0,68,16,81,18,0
3,2018-01-28,25,21,75,47,87,0,81,48,35,23,79,58,0,47,0,0,57,0,57,65,62,50,50,53,59,31,26,35,29,62,63,19,42,0,17,36,8,49,0,70,0,0,37,42,0,53,34,76,45,22
4,2018-02-04,25,10,93,49,53,38,59,51,67,47,82,32,97,12,65,21,62,21,46,77,61,54,25,0,100,0,51,21,100,67,0,0,14,20,34,0,33,57,0,53,0,20,0,21,67,68,16,69,100,0
5,2018-02-11,0,33,56,0,58,0,60,44,44,70,0,15,47,12,0,0,87,0,49,54,0,65,68,54,100,0,26,42,31,38,0,19,14,0,66,35,17,58,0,0,0,20,0,24,46,52,31,86,18,0
6,2018-02-18,0,10,41,0,63,41,75,44,49,44,0,15,47,60,0,20,58,21,48,58,81,69,86,0,20,30,89,14,42,47,41,19,29,0,0,34,33,8,33,35,32,0,0,44,23,0,16,79,67,22
7,2018-02-25,25,49,82,94,36,0,66,46,74,43,0,74,48,48,0,0,83,0,46,60,48,57,25,25,62,63,74,48,14,74,20,0,29,61,33,34,32,0,0,33,0,0,0,83,23,13,0,86,23,0
8,2018-03-04,0,29,36,0,54,0,97,43,63,62,0,45,0,35,0,0,47,0,49,62,24,74,54,26,0,0,13,21,15,42,40,37,56,0,16,35,8,24,0,100,67,0,0,42,45,13,33,98,14,0
9,2018-03-11,76,48,37,0,60,0,95,49,48,0,0,51,0,72,0,0,69,0,48,63,47,75,47,0,0,0,25,48,0,84,20,39,55,41,50,0,31,0,0,33,0,20,0,42,67,38,33,85,36,0
10,2018-03-18,0,29,46,48,52,0,72,57,23,60,0,16,0,49,33,0,58,21,47,64,24,52,41,0,27,31,0,28,0,45,40,0,14,21,16,0,21,25,33,53,0,0,0,21,22,27,16,76,14,23
11,2018-03-25,27,42,28,0,36,0,94,50,75,62,0,19,50,51,0,0,75,0,42,68,25,60,54,0,25,0,0,34,57,47,100,21,14,0,0,71,48,9,0,36,70,0,0,0,0,40,0,69,14,25
12,2018-04-01,54,19,100,0,55,0,77,53,19,19,0,61,0,26,0,0,81,0,41,41,26,35,30,26,0,33,28,14,28,31,0,39,43,41,0,0,57,9,0,84,0,21,0,0,0,0,35,77,9,0
13,2018-04-08,0,38,28,0,53,0,79,44,27,59,0,30,0,25,32,0,85,21,42,56,98,44,52,52,42,30,13,77,28,90,59,19,0,0,0,0,63,8,0,16,39,0,37,0,23,30,50,84,26,0
14,2018-04-15,26,19,33,0,29,0,88,41,30,20,0,53,0,38,34,0,93,0,37,63,0,56,76,27,63,31,40,49,14,67,40,20,30,20,17,0,49,25,34,50,36,0,0,21,44,41,0,81,14,45
15,2018-04-22,26,28,61,0,46,0,87,35,42,20,0,23,0,49,32,0,52,0,35,60,24,43,46,0,64,57,0,34,14,48,40,21,14,20,35,0,27,8,34,17,0,0,0,0,44,13,18,83,27,47
16,2018-04-29,25,19,73,0,45,0,45,48,32,0,0,62,0,37,0,21,99,0,33,53,50,51,45,26,88,0,13,14,14,31,0,20,58,0,33,0,37,0,0,85,0,0,37,21,23,26,17,68,19,23
17,2018-05-06,25,46,78,52,52,0,69,60,40,60,0,31,0,38,0,21,90,0,35,71,73,59,50,27,0,0,13,35,0,50,20,20,44,0,33,0,22,24,0,0,0,23,37,20,0,41,17,81,9,23
