,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,50,68,75,29,56,69,63,65,68,5,47,63,38,44,69,15,57,63,57,71,59,38,50,49,36,68,24,76,63,53,62,28,48,43,91,58,52,51,32,53,59,84,62,73,38,68,54,77,63,68
1,2018-01-14,47,72,85,54,61,100,61,70,40,5,29,75,18,53,49,11,67,49,57,76,68,49,54,66,14,58,21,77,57,63,60,15,46,33,69,45,36,58,28,49,63,64,28,72,61,65,54,76,54,57
2,2018-01-21,71,78,82,25,42,90,58,73,27,5,49,62,39,49,50,22,60,57,49,70,65,49,53,59,21,50,19,73,79,67,64,27,46,51,81,50,39,49,39,59,65,81,47,66,34,69,69,75,53,66
3,2018-01-28,69,77,75,43,37,59,60,65,55,5,40,62,18,52,55,34,53,77,48,68,58,54,52,44,27,45,23,73,63,61,68,27,44,41,66,41,46,54,29,100,54,73,33,73,47,73,67,78,51,78
4,2018-02-04,53,66,67,37,26,54,57,68,44,5,11,70,33,42,33,21,53,47,53,73,67,51,55,48,31,41,20,72,46,57,44,28,45,28,61,45,35,53,33,62,57,66,66,61,43,66,62,75,62,77
5,2018-02-11,51,67,64,37,42,46,65,68,42,6,97,66,33,40,70,23,47,51,43,71,89,56,53,65,25,50,24,68,60,55,62,22,36,46,62,79,41,47,41,55,72,83,42,76,46,59,55,73,64,51
6,2018-02-18,64,68,82,28,39,61,55,68,34,5,74,52,23,48,33,12,56,50,46,68,58,51,57,60,19,29,20,72,88,59,58,25,50,48,59,62,45,50,30,40,55,70,50,77,37,63,53,78,72,59
7,2018-02-25,61,61,70,25,29,61,63,70,51,5,76,58,13,45,38,17,58,64,46,62,64,44,53,65,17,42,18,72,81,57,54,82,44,34,50,69,27,48,31,45,46,73,47,66,72,66,48,77,54,62
8,2018-03-04,61,58,66,43,52,89,58,71,64,18,36,65,33,39,29,46,58,39,50,69,57,60,52,63,25,59,21,74,70,57,72,15,47,77,68,56,39,60,40,49,53,78,40,56,53,71,63,76,44,65
9,2018-03-11,48,51,68,47,58,54,62,68,42,15,34,58,31,56,50,29,56,83,48,67,62,46,56,57,17,34,20,72,63,62,80,41,69,45,72,61,49,64,34,29,52,57,43,66,62,66,57,77,52,60
10,2018-03-18,42,76,66,25,43,54,55,74,43,9,51,63,33,38,54,29,58,53,44,67,66,42,57,55,31,57,19,74,94,65,56,26,44,40,59,42,38,50,36,29,69,61,63,73,48,66,70,78,55,75
