,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2020-03-15,43,95,73,62,66,50,67,77,58,63,33,69,49,75,47,55,71,64,76,74,66,87,41,62,43,39,74,77,77,61,63,73,76,83,55,68,66,18,53,50,69,73,38,63,100,70,68,76,84,68
1,2020-03-22,53,100,79,100,43,63,67,84,58,70,43,66,48,64,60,65,61,50,73,89,63,84,42,58,48,48,62,77,93,62,62,79,69,73,82,66,50,23,74,77,63,68,47,55,78,76,62,83,96,74
2,2020-03-29,51,82,85,63,61,56,70,79,34,61,32,63,79,85,64,78,56,100,78,84,69,78,43,59,77,54,76,72,77,70,52,75,86,95,62,61,37,21,67,66,66,77,48,73,92,66,66,80,84,63
3,2020-04-05,56,71,90,61,71,47,74,91,86,74,67,76,68,76,58,73,68,75,82,87,74,66,49,71,83,55,80,75,80,67,69,71,80,100,71,66,50,25,83,61,88,77,54,63,57,59,75,91,98,68
4,2020-04-12,52,79,88,78,94,58,72,97,55,74,64,70,60,89,76,45,67,99,67,90,64,68,42,77,77,71,61,83,64,71,68,72,80,85,67,71,51,24,83,66,71,87,51,56,57,63,85,89,100,82
5,2020-04-19,70,79,85,58,58,69,73,97,85,77,64,70,58,88,100,67,74,69,74,88,59,63,47,67,77,82,66,76,68,69,71,58,92,66,59,66,88,21,84,100,60,100,60,80,72,69,76,91,85,67
6,2020-04-26,67,92,90,89,68,76,74,100,95,68,76,80,65,94,60,50,78,76,68,91,79,67,47,70,75,100,84,85,59,67,63,85,86,67,77,87,41,24,91,75,70,82,48,71,77,77,81,93,87,91
7,2020-05-03,63,91,88,71,43,51,79,97,95,75,46,75,69,88,87,69,86,85,68,91,77,73,50,68,73,74,62,87,62,64,61,93,72,74,81,84,49,23,74,74,54,67,47,66,83,62,99,96,73,83
8,2020-05-10,74,80,89,71,53,68,83,91,78,83,73,67,36,73,71,54,67,80,85,94,81,74,50,73,71,87,70,83,73,68,62,67,70,57,81,75,43,24,69,63,59,64,60,76,56,87,82,94,75,84
9,2020-05-17,70,76,100,58,82,78,84,96,68,79,33,75,60,95,68,83,69,95,74,96,66,80,49,67,65,59,65,92,77,75,63,55,88,73,89,79,53,25,59,77,75,84,81,65,76,100,88,96,95,85
10,2020-05-24,93,93,84,62,75,76,92,96,57,95,50,78,61,74,49,57,66,72,74,92,66,86,51,75,72,52,68,94,59,75,60,83,77,41,86,59,49,24,64,66,54,67,61,71,95,89,97,96,97,91
11,2020-05-31,79,88,89,57,49,47,92,88,72,68,68,75,39,73,75,70,68,68,70,90,51,79,53,72,82,44,55,91,67,91,74,68,73,52,58,58,100,21,71,52,75,85,48,81,44,81,91,90,85,75
12,2020-06-07,73,90,95,76,67,56,90,88,78,69,40,73,55,79,75,97,75,81,82,95,67,81,54,68,58,57,84,97,74,78,79,99,76,64,81,52,73,22,76,90,74,55,64,62,40,73,76,95,87,94
13,2020-06-14,73,84,88,70,38,87,92,89,77,79,71,72,61,76,43,63,75,84,75,91,48,97,63,70,90,51,64,95,85,78,69,49,72,57,85,60,55,24,61,53,59,63,68,74,71,75,81,97,85,81
14,2020-06-21,74,76,91,58,70,90,89,90,45,71,59,74,50,71,81,85,74,69,83,99,59,73,61,73,89,73,73,92,71,65,68,48,75,75,83,81,56,19,57,75,67,71,76,71,78,89,84,95,81,81
15,2020-06-28,79,78,88,40,60,80,92,96,61,79,38,86,64,81,51,54,72,82,91,98,65,63,58,77,78,40,76,91,73,70,72,77,83,69,76,62,58,21,43,70,48,61,59,57,60,78,71,97,78,82
16,2020-07-05,67,88,90,67,56,68,90,93,79,81,32,77,42,81,59,61,77,75,79,96,51,63,57,68,70,68,64,88,68,71,76,54,72,62,84,66,66,23,44,63,68,48,65,64,68,69,79,92,81,82
17,2020-07-12,58,86,87,70,57,42,89,92,35,85,16,71,66,84,65,61,77,100,89,99,72,80,54,85,61,55,67,92,75,81,73,54,62,71,70,65,58,24,59,77,82,62,41,76,66,66,80,94,78,69
18,2020-07-19,66,86,86,55,91,68,85,94,40,81,25,82,36,78,62,73,75,70,77,100,68,77,59,93,73,89,73,90,69,82,76,69,65,73,72,82,74,25,57,74,61,64,52,78,81,79,65,94,71,87
19,2020-07-26,80,76,86,46,55,93,85,94,59,66,33,86,55,70,59,100,80,79,83,97,62,75,57,75,65,52,72,90,64,84,74,35,58,42,68,60,60,21,50,72,72,69,61,100,51,69,80,92,78,88
20,2020-08-02,59,73,86,41,46,47,84,91,51,70,97,74,62,58,63,75,85,57,88,97,71,83,54,93,66,57,62,92,71,80,64,62,76,52,77,62,56,22,46,64,79,63,65,57,74,75,79,94,78,81
21,2020-08-09,88,83,85,69,60,53,89,94,83,73,67,74,59,62,37,77,90,65,73,98,62,68,54,78,54,49,59,98,66,82,68,70,81,66,81,52,60,24,49,60,49,61,43,57,73,75,79,92,74,99
22,2020-08-16,82,92,87,64,53,71,87,94,59,82,78,85,73,76,47,58,86,48,87,99,60,61,60,74,65,56,73,93,66,95,82,60,82,63,78,63,70,20,61,67,68,57,60,63,68,81,80,94,76,93
23,2020-08-23,66,72,85,54,58,63,96,93,75,77,38,75,72,92,79,53,85,94,84,95,77,72,65,76,76,48,65,94,58,68,73,47,85,65,76,51,58,22,51,79,72,72,79,86,55,65,67,94,81,93
24,2020-08-30,78,80,86,66,64,82,90,81,53,70,20,77,50,68,55,60,75,87,66,98,85,73,58,67,78,50,71,94,74,70,71,66,69,94,78,61,69,22,44,73,57,45,55,65,66,84,77,90,81,82
25,2020-09-06,70,86,89,63,55,76,89,86,70,76,49,75,65,82,55,42,76,57,72,91,77,88,57,64,55,90,63,97,56,78,65,51,63,72,77,81,64,22,60,64,58,61,47,70,60,87,70,90,72,83
26,2020-09-13,77,75,88,54,41,92,87,81,77,75,57,74,48,75,48,58,64,72,75,88,73,82,61,72,80,47,54,94,71,72,77,65,69,53,75,63,61,21,75,87,71,68,57,71,69,64,86,84,75,79
27,2020-09-20,62,71,89,55,62,83,87,82,57,91,48,85,48,75,42,48,64,53,67,94,70,91,59,69,51,59,59,100,81,74,63,77,65,56,76,51,64,31,58,37,68,62,53,79,53,81,80,85,60,90
28,2020-09-27,66,96,93,66,44,45,83,85,91,77,36,80,47,64,43,63,65,50,65,88,81,100,54,67,72,74,83,98,54,69,66,53,76,78,74,70,60,28,48,66,79,75,67,69,54,70,73,86,67,87
29,2020-10-04,72,87,91,62,71,71,92,86,32,80,52,75,29,73,47,57,72,60,65,90,58,98,55,62,48,89,66,97,73,71,71,70,84,57,90,64,53,19,42,57,41,71,68,64,57,69,76,83,65,85
30,2020-10-11,71,66,88,55,52,83,81,85,53,88,41,64,74,72,67,63,63,65,69,91,46,84,52,62,63,61,69,95,64,78,68,85,78,66,81,54,56,22,57,82,67,82,38,58,52,64,63,89,63,87
31,2020-10-18,84,92,87,37,58,99,84,88,49,81,51,100,56,60,46,24,65,65,66,98,69,78,50,58,90,64,77,95,73,73,66,48,73,45,88,68,60,22,66,83,66,70,63,73,70,68,76,86,59,82
32,2020-10-25,60,92,86,48,56,92,87,76,79,81,41,70,88,73,48,46,68,66,63,93,60,84,54,74,75,64,54,91,64,88,73,67,83,72,73,76,65,24,62,58,61,69,66,63,74,64,77,82,68,80
33,2020-11-01,66,80,82,64,61,79,87,74,78,71,33,68,73,78,50,42,71,76,60,89,49,79,52,58,36,48,59,90,59,75,88,95,82,67,65,54,68,25,66,61,58,78,54,52,59,71,68,72,55,78
34,2020-11-08,68,88,85,58,75,76,84,87,80,79,71,80,75,86,69,43,69,52,85,92,83,84,53,58,67,54,66,87,76,82,76,55,91,64,80,60,54,23,79,65,61,93,50,58,67,57,68,89,57,81
35,2020-11-15,86,79,90,63,56,67,78,89,74,79,30,78,63,81,60,52,59,77,71,95,73,78,62,66,67,77,72,90,65,80,71,53,84,59,100,47,53,25,71,71,76,92,60,76,62,59,76,95,52,86
36,2020-11-22,91,69,98,78,59,64,85,97,74,72,51,78,65,71,72,50,69,78,74,97,57,73,60,68,64,55,83,94,58,88,71,61,75,61,72,54,70,28,89,79,72,93,44,48,88,73,76,93,56,92
37,2020-11-29,85,77,88,73,69,68,87,86,86,73,30,77,51,70,68,45,72,76,69,94,63,84,56,72,54,44,63,89,75,94,72,65,86,47,70,87,58,24,71,69,70,94,61,67,42,67,90,90,67,83
38,2020-12-06,85,84,98,51,74,79,87,93,89,76,40,78,76,82,79,42,72,66,58,85,63,93,60,60,60,58,67,87,72,87,92,83,84,55,83,65,68,24,100,51,78,69,71,62,61,78,83,98,62,96
39,2020-12-13,79,82,93,60,78,52,93,91,57,81,71,78,45,66,28,40,62,84,59,86,67,59,62,52,61,43,82,84,65,79,83,57,73,74,85,86,69,21,72,69,72,85,50,59,73,59,91,90,59,87
40,2020-12-20,87,86,89,71,63,62,100,92,55,83,32,92,78,77,59,61,66,64,76,87,53,69,58,72,74,47,74,79,51,84,84,48,77,72,90,46,66,23,65,70,87,76,49,69,75,64,76,91,59,94
41,2020-12-27,75,87,96,58,48,50,92,95,64,61,62,85,73,100,63,29,72,94,72,98,73,69,61,81,53,50,97,82,59,75,84,52,72,44,81,61,55,26,68,54,62,64,33,63,83,74,79,97,58,96
42,2021-01-03,82,92,92,39,58,66,96,88,68,79,21,96,41,84,64,43,63,69,68,97,70,60,60,78,52,80,95,84,61,83,67,71,79,75,89,74,76,24,62,57,61,59,77,69,84,62,78,86,63,77
43,2021-01-10,97,81,95,78,57,86,92,90,60,74,62,70,76,76,75,68,59,39,52,95,67,70,57,76,75,84,80,89,62,76,71,46,66,91,78,64,63,24,78,67,66,59,68,64,86,73,70,88,62,89
