,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,47,39,67,64,74,29,86,82,54,56,62,33,51,81,75,23,40,59,85,75,53,52,41,63,88,96,61,65,64,29,51,74,82,54,27,15,55,63,73,72,73,76,42,60,54,84,62,72,52,72
1,2018-01-14,46,39,76,62,72,43,94,88,64,62,85,36,64,84,68,23,41,54,87,83,65,54,41,71,77,81,64,70,70,32,56,100,77,58,26,11,45,73,71,68,80,75,46,77,61,89,61,70,75,83
2,2018-01-21,62,45,83,64,83,41,93,84,75,60,60,43,60,85,84,22,41,65,89,85,66,54,41,72,77,96,71,67,70,31,58,96,83,63,31,14,67,72,71,55,91,83,49,57,62,91,66,72,100,79
3,2018-01-28,62,40,86,53,85,42,80,82,64,68,51,40,54,81,77,23,42,59,80,85,63,52,47,79,81,90,67,66,66,30,57,90,83,46,28,14,52,81,71,66,82,81,55,69,54,79,73,72,59,82
4,2018-02-04,59,44,94,54,76,34,80,92,56,57,67,50,65,78,61,24,36,65,79,79,57,57,48,64,86,97,62,73,74,30,57,62,88,54,31,10,55,91,77,68,79,84,59,72,61,80,66,80,56,72
5,2018-02-11,56,46,94,100,85,42,82,95,72,58,33,50,93,83,74,25,39,100,97,84,57,54,44,69,84,88,69,85,79,38,60,59,100,88,36,10,60,78,78,65,91,92,53,66,100,73,68,79,59,71
6,2018-02-18,66,47,90,83,82,39,77,94,78,57,57,44,100,83,78,25,38,92,91,82,58,56,47,63,87,86,66,89,79,35,59,57,89,91,38,24,72,85,82,71,85,97,59,53,97,78,70,78,52,74
7,2018-02-25,59,49,87,54,82,34,70,85,57,54,62,41,72,75,67,24,37,61,81,70,67,61,34,56,79,89,60,74,70,33,61,54,84,48,31,29,56,84,70,67,75,87,62,70,63,74,73,72,53,83
8,2018-03-04,69,44,91,59,77,52,69,85,61,57,48,39,63,82,66,26,39,61,90,81,67,60,53,73,84,86,64,71,67,38,60,61,81,53,34,23,76,84,80,60,90,78,55,67,64,79,73,70,58,84
9,2018-03-11,58,49,91,64,84,48,69,81,69,60,60,32,70,78,69,27,35,48,83,80,64,60,49,75,79,92,68,70,70,34,49,55,82,56,39,18,67,82,89,66,93,79,61,81,61,76,81,72,57,85
