Category: All categories

Week,Learning: (Brazil)
2018-01-07,58
2018-01-14,61
2018-01-21,66
2018-01-28,73
2018-02-04,72
2018-02-11,67
2018-02-18,75
2018-02-25,74
2018-03-04,81
2018-03-11,71
2018-03-18,71
2018-03-25,67
2018-04-01,75
2018-04-08,69
2018-04-15,73
2018-04-22,68
2018-04-29,63
2018-05-06,67
2018-05-13,82
2018-05-20,74
2018-05-27,66
2018-06-03,82
2018-06-10,68
2018-06-17,66
2018-06-24,81
2018-07-01,61
2018-07-08,68
2018-07-15,73
2018-07-22,70
2018-07-29,67
2018-08-05,78
2018-08-12,92
2018-08-19,95
2018-08-26,100
2018-09-02,96
2018-09-09,75
2018-09-16,86
2018-09-23,77
2018-09-30,87
2018-10-07,67
2018-10-14,73
2018-10-21,79
2018-10-28,60
2018-11-04,60
2018-11-11,68
2018-11-18,66
2018-11-25,89
2018-12-02,75
2018-12-09,64
2018-12-16,72
2018-12-23,72
2018-12-30,73
2019-01-06,67
2019-01-13,67
2019-01-20,54
2019-01-27,77
2019-02-03,91
2019-02-10,95
2019-02-17,78
2019-02-24,86
2019-03-03,76
2019-03-10,95
2019-03-17,87
2019-03-24,98
2019-03-31,76
2019-04-07,84
2019-04-14,67
2019-04-21,62
2019-04-28,64
2019-05-05,84
2019-05-12,68
2019-05-19,87
2019-05-26,86
2019-06-02,90
2019-06-09,95
2019-06-16,89
2019-06-23,83
2019-06-30,76
2019-07-07,97
2019-07-14,82
2019-07-21,80
2019-07-28,75
2019-08-04,86
2019-08-11,91
2019-08-18,94
2019-08-25,82
2019-09-01,90
2019-09-08,92
2019-09-15,73
2019-09-22,76
2019-09-29,89
2019-10-06,74
2019-10-13,80
2019-10-20,79
2019-10-27,75
2019-11-03,77
2019-11-10,75
2019-11-17,75
2019-11-24,72
2019-12-01,76
2019-12-08,57
2019-12-15,56
2019-12-22,55
2019-12-29,60
2020-01-05,85
2020-01-12,71
2020-01-19,91
2020-01-26,81
2020-02-02,78
2020-02-09,72
2020-02-16,83
2020-02-23,92
2020-03-01,89
2020-03-08,80
2020-03-15,71
2020-03-22,99
2020-03-29,77
2020-04-05,81
2020-04-12,78
2020-04-19,72
2020-04-26,78
2020-05-03,81
2020-05-10,85
2020-05-17,91
2020-05-24,81
2020-05-31,77
2020-06-07,86
2020-06-14,98
2020-06-21,71
2020-06-28,75
2020-07-05,92
2020-07-12,67
2020-07-19,78
2020-07-26,65
2020-08-02,75
2020-08-09,82
2020-08-16,80
2020-08-23,86
2020-08-30,89
2020-09-06,87
2020-09-13,77
2020-09-20,90
2020-09-27,78
2020-10-04,79
2020-10-11,78
2020-10-18,86
2020-10-25,76
2020-11-01,66
2020-11-08,74
2020-11-15,62
2020-11-22,55
2020-11-29,56
2020-12-06,59
2020-12-13,58
2020-12-20,57
2020-12-27,70
