Category: All categories

Week,Learning: (United Kingdom)
2018-01-07,69
2018-01-14,71
2018-01-21,68
2018-01-28,66
2018-02-04,65
2018-02-11,57
2018-02-18,61
2018-02-25,54
2018-03-04,65
2018-03-11,67
2018-03-18,62
2018-03-25,52
2018-04-01,47
2018-04-08,51
2018-04-15,60
2018-04-22,61
2018-04-29,63
2018-05-06,57
2018-05-13,61
2018-05-20,58
2018-05-27,47
2018-06-03,55
2018-06-10,54
2018-06-17,53
2018-06-24,49
2018-07-01,49
2018-07-08,44
2018-07-15,49
2018-07-22,40
2018-07-29,41
2018-08-05,40
2018-08-12,44
2018-08-19,41
2018-08-26,43
2018-09-02,61
2018-09-09,61
2018-09-16,67
2018-09-23,69
2018-09-30,71
2018-10-07,71
2018-10-14,69
2018-10-21,57
2018-10-28,55
2018-11-04,64
2018-11-11,67
2018-11-18,61
2018-11-25,59
2018-12-02,58
2018-12-09,55
2018-12-16,47
2018-12-23,31
2018-12-30,46
2019-01-06,66
2019-01-13,62
2019-01-20,65
2019-01-27,63
2019-02-03,65
2019-02-10,63
2019-02-17,52
2019-02-24,61
2019-03-03,64
2019-03-10,57
2019-03-17,61
2019-03-24,57
2019-03-31,54
2019-04-07,48
2019-04-14,43
2019-04-21,49
2019-04-28,59
2019-05-05,55
2019-05-12,57
2019-05-19,54
2019-05-26,42
2019-06-02,53
2019-06-09,53
2019-06-16,53
2019-06-23,48
2019-06-30,48
2019-07-07,50
2019-07-14,46
2019-07-21,36
2019-07-28,40
2019-08-04,39
2019-08-11,41
2019-08-18,44
2019-08-25,42
2019-09-01,52
2019-09-08,58
2019-09-15,65
2019-09-22,61
2019-09-29,67
2019-10-06,68
2019-10-13,64
2019-10-20,57
2019-10-27,53
2019-11-03,64
2019-11-10,65
2019-11-17,62
2019-11-24,59
2019-12-01,60
2019-12-08,53
2019-12-15,47
2019-12-22,31
2019-12-29,40
2020-01-05,63
2020-01-12,67
2020-01-19,65
2020-01-26,63
2020-02-02,63
2020-02-09,59
2020-02-16,51
2020-02-23,62
2020-03-01,60
2020-03-08,56
2020-03-15,77
2020-03-22,99
2020-03-29,89
2020-04-05,65
2020-04-12,70
2020-04-19,100
2020-04-26,95
2020-05-03,84
2020-05-10,80
2020-05-17,74
2020-05-24,54
2020-05-31,71
2020-06-07,73
2020-06-14,69
2020-06-21,62
2020-06-28,63
2020-07-05,60
2020-07-12,52
2020-07-19,46
2020-07-26,42
2020-08-02,42
2020-08-09,40
2020-08-16,47
2020-08-23,46
2020-08-30,51
2020-09-06,61
2020-09-13,66
2020-09-20,68
2020-09-27,69
2020-10-04,76
2020-10-11,64
2020-10-18,61
2020-10-25,51
2020-11-01,60
2020-11-08,72
2020-11-15,68
2020-11-22,63
2020-11-29,61
2020-12-06,58
2020-12-13,52
2020-12-20,35
2020-12-27,40
