Category: All categories

Week,Learning: (Thailand)
2018-01-07,20
2018-01-14,23
2018-01-21,25
2018-01-28,20
2018-02-04,22
2018-02-11,19
2018-02-18,23
2018-02-25,17
2018-03-04,22
2018-03-11,22
2018-03-18,22
2018-03-25,23
2018-04-01,19
2018-04-08,14
2018-04-15,18
2018-04-22,21
2018-04-29,23
2018-05-06,21
2018-05-13,16
2018-05-20,20
2018-05-27,16
2018-06-03,21
2018-06-10,21
2018-06-17,20
2018-06-24,17
2018-07-01,20
2018-07-08,24
2018-07-15,21
2018-07-22,18
2018-07-29,19
2018-08-05,20
2018-08-12,20
2018-08-19,23
2018-08-26,28
2018-09-02,26
2018-09-09,22
2018-09-16,19
2018-09-23,20
2018-09-30,20
2018-10-07,21
2018-10-14,19
2018-10-21,17
2018-10-28,20
2018-11-04,19
2018-11-11,19
2018-11-18,21
2018-11-25,27
2018-12-02,18
2018-12-09,18
2018-12-16,18
2018-12-23,11
2018-12-30,13
2019-01-06,20
2019-01-13,23
2019-01-20,22
2019-01-27,36
2019-02-03,41
2019-02-10,40
2019-02-17,42
2019-02-24,50
2019-03-03,52
2019-03-10,89
2019-03-17,100
2019-03-24,75
2019-03-31,27
2019-04-07,16
2019-04-14,16
2019-04-21,19
2019-04-28,16
2019-05-05,20
2019-05-12,21
2019-05-19,20
2019-05-26,22
2019-06-02,25
2019-06-09,23
2019-06-16,26
2019-06-23,24
2019-06-30,24
2019-07-07,24
2019-07-14,22
2019-07-21,23
2019-07-28,24
2019-08-04,24
2019-08-11,24
2019-08-18,23
2019-08-25,27
2019-09-01,25
2019-09-08,23
2019-09-15,22
2019-09-22,23
2019-09-29,19
2019-10-06,24
2019-10-13,19
2019-10-20,22
2019-10-27,23
2019-11-03,27
2019-11-10,21
2019-11-17,28
2019-11-24,22
2019-12-01,19
2019-12-08,20
2019-12-15,23
2019-12-22,19
2019-12-29,19
2020-01-05,20
2020-01-12,18
2020-01-19,22
2020-01-26,24
2020-02-02,26
2020-02-09,21
2020-02-16,22
2020-02-23,25
2020-03-01,22
2020-03-08,29
2020-03-15,28
2020-03-22,23
2020-03-29,31
2020-04-05,29
2020-04-12,29
2020-04-19,30
2020-04-26,21
2020-05-03,25
2020-05-10,25
2020-05-17,31
2020-05-24,25
2020-05-31,21
2020-06-07,27
2020-06-14,27
2020-06-21,26
2020-06-28,28
2020-07-05,25
2020-07-12,32
2020-07-19,26
2020-07-26,31
2020-08-02,28
2020-08-09,32
2020-08-16,33
2020-08-23,35
2020-08-30,25
2020-09-06,31
2020-09-13,29
2020-09-20,30
2020-09-27,23
2020-10-04,26
2020-10-11,21
2020-10-18,24
2020-10-25,21
2020-11-01,23
2020-11-08,20
2020-11-15,22
2020-11-22,26
2020-11-29,22
2020-12-06,18
2020-12-13,19
2020-12-20,19
2020-12-27,18
