Category: All categories

Week,Musical instrument: (Australia)
2018-01-07,37
2018-01-14,35
2018-01-21,32
2018-01-28,46
2018-02-04,55
2018-02-11,55
2018-02-18,56
2018-02-25,65
2018-03-04,63
2018-03-11,56
2018-03-18,62
2018-03-25,55
2018-04-01,44
2018-04-08,54
2018-04-15,41
2018-04-22,55
2018-04-29,53
2018-05-06,62
2018-05-13,53
2018-05-20,68
2018-05-27,58
2018-06-03,65
2018-06-10,54
2018-06-17,55
2018-06-24,55
2018-07-01,49
2018-07-08,49
2018-07-15,53
2018-07-22,58
2018-07-29,63
2018-08-05,65
2018-08-12,63
2018-08-19,61
2018-08-26,54
2018-09-02,59
2018-09-09,77
2018-09-16,68
2018-09-23,52
2018-09-30,44
2018-10-07,63
2018-10-14,66
2018-10-21,59
2018-10-28,59
2018-11-04,57
2018-11-11,57
2018-11-18,57
2018-11-25,55
2018-12-02,55
2018-12-09,49
2018-12-16,41
2018-12-23,50
2018-12-30,48
2019-01-06,27
2019-01-13,39
2019-01-20,42
2019-01-27,49
2019-02-03,61
2019-02-10,60
2019-02-17,68
2019-02-24,59
2019-03-03,59
2019-03-10,64
2019-03-17,57
2019-03-24,51
2019-03-31,51
2019-04-07,44
2019-04-14,44
2019-04-21,51
2019-04-28,46
2019-05-05,57
2019-05-12,51
2019-05-19,60
2019-05-26,49
2019-06-02,68
2019-06-09,53
2019-06-16,66
2019-06-23,49
2019-06-30,44
2019-07-07,52
2019-07-14,50
2019-07-21,64
2019-07-28,63
2019-08-04,62
2019-08-11,52
2019-08-18,63
2019-08-25,51
2019-09-01,68
2019-09-08,51
2019-09-15,54
2019-09-22,49
2019-09-29,40
2019-10-06,60
2019-10-13,62
2019-10-20,52
2019-10-27,69
2019-11-03,47
2019-11-10,50
2019-11-17,65
2019-11-24,42
2019-12-01,62
2019-12-08,54
2019-12-15,48
2019-12-22,38
2019-12-29,48
2020-01-05,44
2020-01-12,42
2020-01-19,54
2020-01-26,38
2020-02-02,62
2020-02-09,52
2020-02-16,56
2020-02-23,69
2020-03-01,46
2020-03-08,51
2020-03-15,58
2020-03-22,68
2020-03-29,81
2020-04-05,68
2020-04-12,59
2020-04-19,78
2020-04-26,94
2020-05-03,100
2020-05-10,93
2020-05-17,93
2020-05-24,67
2020-05-31,68
2020-06-07,59
2020-06-14,65
2020-06-21,65
2020-06-28,55
2020-07-05,48
2020-07-12,45
2020-07-19,63
2020-07-26,64
2020-08-02,64
2020-08-09,65
2020-08-16,66
2020-08-23,66
2020-08-30,76
2020-09-06,64
2020-09-13,62
2020-09-20,49
2020-09-27,40
2020-10-04,40
2020-10-11,62
2020-10-18,64
2020-10-25,48
2020-11-01,47
2020-11-08,45
2020-11-15,47
2020-11-22,60
2020-11-29,52
2020-12-06,40
2020-12-13,48
2020-12-20,48
2020-12-27,54
